"","EPCI","jurid1","nb_etab","eff_31","eff_EQTP","rem_brut","non_annexe","dep_epci","nom_complet"
"1",200000172,"1-ASSO+FOND",44,"707","513.28","12555601","644","74","CC Faucigny-Glières"
"2",200000172,"1A-ASSOCIATIONS",42,"s","s","s","s","74","CC Faucigny-Glières"
"3",200000172,"1B-FONDATIONS",2,"s","s","s","s","74","CC Faucigny-Glières"
"4",200000172,"2-COOPERATIVES",5,"34","33.07","1483903","31","74","CC Faucigny-Glières"
"5",200000172,"4-ESS",49,"741","546.35","14039504","675","74","CC Faucigny-Glières"
"6",200000172,"5-HORS ESS",790,"11016","10095.08","365538163","10638","74","CC Faucigny-Glières"
"7",200000172,"5A-PUBLIC",73,"3366","2913.45","96930966","3197","74","CC Faucigny-Glières"
"8",200000172,"5B-PRIVE",717,"7650","7181.63","268607197","7441","74","CC Faucigny-Glières"
"9",200000172,"6-TOTAL",839,"11757","10641.43","379577667","11313","74","CC Faucigny-Glières"
"10",200000438,"1-ASSO+FOND",95,"1434","1115.21","30331534","1342","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"11",200000438,"1A-ASSOCIATIONS",95,"1434","1115.21","30331534","1342","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"12",200000438,"2-COOPERATIVES",9,"81","76.33","2669247","79","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"13",200000438,"3-MUTUELLES",3,"8","7.22","269418","8","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"14",200000438,"4-ESS",107,"1523","1198.76","33270199","1429","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"15",200000438,"5-HORS ESS",631,"5179","4459.29","131613132","4802","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"16",200000438,"5A-PUBLIC",34,"1207","917.41","26235118","1056","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"17",200000438,"5B-PRIVE",597,"3972","3541.88","105378014","3746","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"18",200000438,"6-TOTAL",738,"6702","5658.05","164883331","6231","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"19",200000545,"1-ASSO+FOND",39,"460","347.08","8542712","420","10","CC des Portes de Romilly sur Seine"
"20",200000545,"1A-ASSOCIATIONS",39,"460","347.08","8542712","420","10","CC des Portes de Romilly sur Seine"
"21",200000545,"2-COOPERATIVES",6,"44","40.8","1636180","44","10","CC des Portes de Romilly sur Seine"
"22",200000545,"3-MUTUELLES",6,"35","28.2","1141147","35","10","CC des Portes de Romilly sur Seine"
"23",200000545,"4-ESS",51,"539","416.08","11320039","499","10","CC des Portes de Romilly sur Seine"
"24",200000545,"5-HORS ESS",466,"5014","4472.33","135094687","4817","10","CC des Portes de Romilly sur Seine"
"25",200000545,"5A-PUBLIC",42,"1857","1690.17","54828404","1783","10","CC des Portes de Romilly sur Seine"
"26",200000545,"5B-PRIVE",424,"3157","2782.16","80266283","3034","10","CC des Portes de Romilly sur Seine"
"27",200000545,"6-TOTAL",517,"5553","4888.41","146414726","5316","10","CC des Portes de Romilly sur Seine"
