"","EPCI","jurid2","typo1","nb_etab","eff_31","eff_EQTP","rem_brut","non_annexe","dep_epci","nom_complet"
"1",200000172,"1-TOTAL-ESS","TOUS SECTEURS",49,"741","546.35","14039504","675","74","CC Faucigny-Glières"
"2",200000172,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",5,"34","33.07","1483903","31","74","CC Faucigny-Glières"
"3",200000172,"1-TOTAL-ESS","2-ENSEIGNEMENT",3,"16","3.97","85860","10","74","CC Faucigny-Glières"
"4",200000172,"1-TOTAL-ESS","3-SANTÉ HUMAINE",4,"s","s","s","s","74","CC Faucigny-Glières"
"5",200000172,"1-TOTAL-ESS","4-ACTION SOCIALE",8,"427","320.02","6162778","405","74","CC Faucigny-Glières"
"6",200000172,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",11,"12","6.7","171690","9","74","CC Faucigny-Glières"
"7",200000172,"1-TOTAL-ESS","6-NON-CLASSES",10,"51","20.99","567180","29","74","CC Faucigny-Glières"
"8",200000172,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","s","74","CC Faucigny-Glières"
"9",200000172,"1-TOTAL-ESS","8-SERVICES DIVERS",7,"38","31.36","979888","38","74","CC Faucigny-Glières"
"10",200000172,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",42,"576","413.24","9224054","523","74","CC Faucigny-Glières"
"11",200000172,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",3,"16","3.97","85860","10","74","CC Faucigny-Glières"
"12",200000172,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","s","74","CC Faucigny-Glières"
"13",200000172,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",8,"427","320.02","6162778","405","74","CC Faucigny-Glières"
"14",200000172,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",11,"12","6.7","171690","9","74","CC Faucigny-Glières"
"15",200000172,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",10,"51","20.99","567180","29","74","CC Faucigny-Glières"
"16",200000172,"2-TOTAL-ASSOCIATIONS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","s","74","CC Faucigny-Glières"
"17",200000172,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",7,"38","31.36","979888","38","74","CC Faucigny-Glières"
"18",200000172,"3-TOTAL-HORS ESS","TOUS SECTEURS",790,"11016","10095.08","365538163","10638","74","CC Faucigny-Glières"
"19",200000172,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",35,"136","114.14","6669721","130","74","CC Faucigny-Glières"
"20",200000172,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",33,"638","576.7","19278395","614","74","CC Faucigny-Glières"
"21",200000172,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",28,"1722","1480.52","51550256","1637","74","CC Faucigny-Glières"
"22",200000172,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",9,"211","172.07","5262156","194","74","CC Faucigny-Glières"
"23",200000172,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",3,"16","17.06","396562","16","74","CC Faucigny-Glières"
"24",200000172,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",271,"4695","4536.38","167050649","4633","74","CC Faucigny-Glières"
"25",200000172,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",411,"3598","3198.21","115330424","3414","74","CC Faucigny-Glières"
"26",200000438,"1-TOTAL-ESS","TOUS SECTEURS",107,"1523","1198.76","33270199","1429","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"27",200000438,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",7,"s","s","s","s","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"28",200000438,"1-TOTAL-ESS","2-ENSEIGNEMENT",21,"321","286.39","9254941","314","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"29",200000438,"1-TOTAL-ESS","3-SANTÉ HUMAINE",5,"48","32.64","1126558","46","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"30",200000438,"1-TOTAL-ESS","4-ACTION SOCIALE",16,"904","699.92","17335615","865","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"31",200000438,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",25,"33","10.67","237960","14","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"32",200000438,"1-TOTAL-ESS","6-NON-CLASSES",15,"45","25.64","701868","34","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"33",200000438,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",2,"s","s","s","s","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"34",200000438,"1-TOTAL-ESS","8-SERVICES DIVERS",16,"90","66.4","1895593","76","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"35",200000438,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",95,"1434","1115.21","30331534","1342","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"36",200000438,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",21,"321","286.39","9254941","314","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"37",200000438,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",5,"48","32.64","1126558","46","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"38",200000438,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",16,"904","699.92","17335615","865","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"39",200000438,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",25,"33","10.67","237960","14","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"40",200000438,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",15,"45","25.64","701868","34","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"41",200000438,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",13,"83","59.95","1674592","69","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"42",200000438,"3-TOTAL-HORS ESS","TOUS SECTEURS",631,"5179","4459.29","131613132","4802","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"43",200000438,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",21,"61","49.43","1602458","53","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"44",200000438,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",23,"343","308.54","10277681","342","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"45",200000438,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",30,"70","47.42","1154630","56","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"46",200000438,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",2,"s","s","s","s","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"47",200000438,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",5,"s","s","s","s","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"48",200000438,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",221,"1968","1911.41","59696223","1916","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"49",200000438,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",329,"2535","1993.89","55100695","2264","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"50",200000545,"1-TOTAL-ESS","TOUS SECTEURS",51,"539","416.08","11320039","499","10","CC des Portes de Romilly sur Seine"
"51",200000545,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",7,"35","32.52","1412327","35","10","CC des Portes de Romilly sur Seine"
"52",200000545,"1-TOTAL-ESS","2-ENSEIGNEMENT",3,"49","37.65","1166219","45","10","CC des Portes de Romilly sur Seine"
"53",200000545,"1-TOTAL-ESS","3-SANTÉ HUMAINE",3,"33","26","1106520","33","10","CC des Portes de Romilly sur Seine"
"54",200000545,"1-TOTAL-ESS","4-ACTION SOCIALE",10,"254","185.78","4273361","226","10","CC des Portes de Romilly sur Seine"
"55",200000545,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",9,"16","12.38","298544","13","10","CC des Portes de Romilly sur Seine"
"56",200000545,"1-TOTAL-ESS","6-NON-CLASSES",8,"48","36.32","726990","47","10","CC des Portes de Romilly sur Seine"
"57",200000545,"1-TOTAL-ESS","8-SERVICES DIVERS",11,"104","85.43","2336078","100","10","CC des Portes de Romilly sur Seine"
"58",200000545,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",39,"460","347.08","8542712","420","10","CC des Portes de Romilly sur Seine"
"59",200000545,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",3,"49","37.65","1166219","45","10","CC des Portes de Romilly sur Seine"
"60",200000545,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","s","10","CC des Portes de Romilly sur Seine"
"61",200000545,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",10,"254","185.78","4273361","226","10","CC des Portes de Romilly sur Seine"
"62",200000545,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",9,"16","12.38","298544","13","10","CC des Portes de Romilly sur Seine"
"63",200000545,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",8,"48","36.32","726990","47","10","CC des Portes de Romilly sur Seine"
"64",200000545,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",7,"s","s","s","s","10","CC des Portes de Romilly sur Seine"
"65",200000545,"3-TOTAL-HORS ESS","TOUS SECTEURS",466,"5014","4472.33","135094687","4817","10","CC des Portes de Romilly sur Seine"
"66",200000545,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",18,"97","85.46","2699702","91","10","CC des Portes de Romilly sur Seine"
"67",200000545,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",23,"459","427.28","15014568","459","10","CC des Portes de Romilly sur Seine"
