"REG","ESS","famille","typo_B","typo_B_det","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2259841","1802589","22854619","21221804","761748237301"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","8773","4881","90254","77186","1874439084"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","8436","6522","248839","179305","3982913604"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2353","567","166145","141762","2498494420"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","16353","9796","320986","273336","7679946347"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","13832","12672","66357","53062","1742639980"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","65450","16480","1454379","1344501","48141471512"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adulte","21370","16382","134565","118489","3886219601"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","17004","6852","715335","632493","17732762365"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","52919","28618","1541559","1304082","33768555820"
"France entière","ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","97673","61797","872465","835301","47446483733"
"France entière","ESS + Hors ESS","Ensemble","AGRICULTURE, SYLVICULTURE ET PECHE (AZ)","Ensemble","99203","97198","234781","240247","6188190039"
"France entière","ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","28667","26327","118404","125408","4479888257"
"France entière","ESS + Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","445720","321620","3088175","2849173","94795048807"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","100652","45534","1655301","1516052","53770331093"
"France entière","ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","197071","173528","954169","901688","23066489384"
"France entière","ESS + Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","388006","340075","4472417","4313373","164497817238"
"France entière","ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","46139","40778","175981","151326","4592147259"
"France entière","ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","83947","72430","1625013","1471859","49402413647"
"France entière","ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","330396","261960","5329224","4992606","179107141208"
"France entière","ESS + Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","340925","287553","2628310","2382323","95837627086"
"France entière","ESS + Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","48523","45171","158820","138366","4796103730"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","8773","4881","90254","77186","1874439084"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","8436","6522","248839","179305","3982913604"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2353","567","166145","141762","2498494420"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","16353","9796","320986","273336","7679946347"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","17004","6852","715335","632493","17732762365"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Autres enseignements","13832","12672","66357","53062","1742639980"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","65450","16480","1454379","1344501","48141471512"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Formation d adulte","21370","16382","134565","118489","3886219601"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","211379","157726","2340650","2053268","65145282426"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2048462","1644863","20513969","19168537","696602954875"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4020","2675","41089","35258","854933140"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4461","3655","163377","118956","2705161027"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2141","471","153986","133291","2287043407"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","11687","6252","189874","156800","4423002924"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","7591","7107","36433","27859","885720044"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","9111","6436","247225","221455","7598930409"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adulte","3686","2429","34022","30551","1002649373"
