"REG","typo_Asso","typo_Asso_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","Ensemble","1814171"
"France entière","Ensemble","Ensemble","Ensemble","Aides","167605"
"France entière","Ensemble","Ensemble","Ensemble","Apprentis","8367"
"France entière","Ensemble","Ensemble","Ensemble","Ordinaires","1631937"
"France entière","Ensemble","Ensemble","Ensemble","Stagiaires","6262"
"France entière","Ensemble","Ensemble","Femmes","Ensemble","1253925"
"France entière","Ensemble","Ensemble","Hommes","Ensemble","560246"
"France entière","Ensemble","Ensemble","Femmes","Aides","88168"
"France entière","Ensemble","Ensemble","Femmes","Apprentis","4292"
"France entière","Ensemble","Ensemble","Femmes","Ordinaires","1157153"
"France entière","Ensemble","Ensemble","Femmes","Stagiaires","4312"
"France entière","Ensemble","Ensemble","Hommes","Aides","79437"
"France entière","Ensemble","Ensemble","Hommes","Apprentis","4075"
"France entière","Ensemble","Ensemble","Hommes","Ordinaires","474784"
"France entière","Ensemble","Ensemble","Hommes","Stagiaires","1950"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Ensemble","11028"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","Ensemble","13415"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","Ensemble","23912"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","Ensemble","38624"
"France entière","Ensemble","Action sociale NCA","Ensemble","Ensemble","135565"
"France entière","Ensemble","Aide a domicile","Ensemble","Ensemble","158463"
"France entière","Ensemble","Aide par le travail","Ensemble","Ensemble","147721"
"France entière","Ensemble","Autres enseignements","Ensemble","Ensemble","25224"
"France entière","Ensemble","Enseignement culturel","Ensemble","Ensemble","8628"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","Ensemble","241451"
"France entière","Ensemble","Formation continue d adultes","Ensemble","Ensemble","31197"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","Ensemble","100639"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","Ensemble","79598"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","Ensemble","177350"
"France entière","Ensemble","Loisirs","Ensemble","Ensemble","19083"
"France entière","Ensemble","NC","Ensemble","Ensemble","539034"
"France entière","Ensemble","Sports","Ensemble","Ensemble","63239"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Aides","661"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Apprentis","27"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Ordinaires","10280"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","Stagiaires","60"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","Aides","620"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","Apprentis","58"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","Ordinaires","12660"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","Stagiaires","77"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","Aides","553"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","Apprentis","70"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","Ordinaires","23118"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","Stagiaires","171"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","Aides","4183"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","Apprentis","365"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","Ordinaires","34021"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","Stagiaires","55"
