"REG","typo_Coop","typo_Coop_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","Ensemble","300698"
"France entière","Ensemble","Ensemble","Ensemble","Aides","6055"
"France entière","Ensemble","Ensemble","Ensemble","Apprentis","4484"
"France entière","Ensemble","Ensemble","Ensemble","Ordinaires","289554"
"France entière","Ensemble","Ensemble","Ensemble","Stagiaires","605"
"France entière","Ensemble","Ensemble","Hommes","Ensemble","155861"
"France entière","Ensemble","Ensemble","Femmes","Ensemble","144837"
"France entière","Ensemble","Ensemble","Hommes","Aides","2999"
"France entière","Ensemble","Ensemble","Hommes","Apprentis","2647"
"France entière","Ensemble","Ensemble","Hommes","Ordinaires","149954"
"France entière","Ensemble","Ensemble","Hommes","Stagiaires","261"
"France entière","Ensemble","Ensemble","Femmes","Aides","3056"
"France entière","Ensemble","Ensemble","Femmes","Apprentis","1837"
"France entière","Ensemble","Ensemble","Femmes","Ordinaires","139600"
"France entière","Ensemble","Ensemble","Femmes","Stagiaires","344"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ensemble","1030"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble","163832"
"France entière","Ensemble","NC","Ensemble","Ensemble","135836"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ordinaires","995"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ordinaires","157423"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Stagiaires","s"
"France entière","Ensemble","NC","Ensemble","Aides","2529"
"France entière","Ensemble","NC","Ensemble","Apprentis","s"
"France entière","Ensemble","NC","Ensemble","Ordinaires","131136"
"France entière","Ensemble","NC","Ensemble","Stagiaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ensemble","404"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ensemble","626"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ensemble","67129"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ensemble","96703"
"France entière","Ensemble","NC","Hommes","Ensemble","88328"
"France entière","Ensemble","NC","Femmes","Ensemble","47508"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Hommes","Ordinaires","390"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Ordinaires","605"
"France entière","Ensemble","Activites de services financiers et d assurances","Femmes","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Ordinaires","64315"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Hommes","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Ordinaires","93108"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Femmes","Stagiaires","s"
"France entière","Ensemble","NC","Hommes","Aides","1475"
"France entière","Ensemble","NC","Hommes","Apprentis","s"
"France entière","Ensemble","NC","Hommes","Ordinaires","85249"
"France entière","Ensemble","NC","Hommes","Stagiaires","s"
"France entière","Ensemble","NC","Femmes","Aides","1054"
"France entière","Ensemble","NC","Femmes","Apprentis","s"
"France entière","Ensemble","NC","Femmes","Ordinaires","45887"
"France entière","Ensemble","NC","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ensemble","164862"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ensemble","6542"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Ensemble","16350"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Ensemble","49467"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Ensemble","47618"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ensemble","15859"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Aides","3526"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Apprentis","2398"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Ordinaires","158418"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","Stagiaires","520"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Ordinaires","6380"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Aides","466"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Ordinaires","15764"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","Stagiaires","s"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Aides","636"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Apprentis","616"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Ordinaires","48199"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","Stagiaires","16"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Aides","1044"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Apprentis","1056"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Ordinaires","45490"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","Stagiaires","28"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Apprentis","207"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Ordinaires","15303"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ensemble","67533"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ensemble","97329"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Ensemble","4688"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ensemble","1854"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Ensemble","8347"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Ensemble","8003"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Ensemble","30785"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Ensemble","18682"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Ensemble","35485"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Ensemble","12133"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Ensemble","9023"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Ensemble","6836"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Aides","1524"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Ordinaires","64705"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Hommes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Aides","2002"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Ordinaires","93713"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Femmes","Stagiaires","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Hommes","Ordinaires","4573"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Ordinaires","1807"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Femmes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Aides","226"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Ordinaires","8063"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Hommes","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Aides","240"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Ordinaires","7701"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Femmes","Stagiaires","s"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Aides","s"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Apprentis","401"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Ordinaires","30062"
"France entière","COMMERCE (GZ)","Ensemble","Hommes","Stagiaires","s"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Aides","s"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Apprentis","215"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Ordinaires","18137"
"France entière","COMMERCE (GZ)","Ensemble","Femmes","Stagiaires","s"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Aides","700"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Apprentis","879"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Ordinaires","33892"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Hommes","Stagiaires","14"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Aides","344"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Apprentis","177"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Ordinaires","11598"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Femmes","Stagiaires","14"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Aides","189"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Apprentis","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Ordinaires","8659"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Hommes","Stagiaires","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Apprentis","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Ordinaires","6644"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Femmes","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ensemble","1030"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble","163832"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","NC","Ensemble","Ensemble","6542"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","NC","Ensemble","Ensemble","16350"
"France entière","COMMERCE (GZ)","NC","Ensemble","Ensemble","49467"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","NC","Ensemble","Ensemble","47618"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","NC","Ensemble","Ensemble","15859"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Aides","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","Ordinaires","995"
