"REG","nom_jurid_coop","nb_poste"
"France entière","Ensemble des cooperatives","300698"
"France entière","Autre cooperative","81840"
"France entière","Cooperative HLM","1381"
"France entière","Cooperative agricole","65590"
"France entière","Cooperative bancaire","112465"
"France entière","Cooperative d artisans","3181"
"France entière","Cooperative de commerçants detaillants","3402"
"France entière","Cooperative de consommateurs","5188"
"France entière","Cooperative de transport","308"
"France entière","Cooperative maritime","543"
"France entière","SCOP","26800"
"Auvergne-Rhône-Alpes","Ensemble des cooperatives","35962"
"Bourgogne-Franche-Comté","Ensemble des cooperatives","14053"
"Bretagne","Ensemble des cooperatives","27993"
"Centre-Val de Loire","Ensemble des cooperatives","13170"
"Corse","Ensemble des cooperatives","921"
"Grand-Est","Ensemble des cooperatives","30051"
"Guadeloupe","Ensemble des cooperatives","840"
"Guyane","Ensemble des cooperatives","157"
"Hauts-de-France","Ensemble des cooperatives","18080"
"Ile-de-France","Ensemble des cooperatives","34383"
"La Réunion","Ensemble des cooperatives","2374"
"Martinique","Ensemble des cooperatives","947"
"Normandie","Ensemble des cooperatives","15913"
"Nouvelle-Aquitaine","Ensemble des cooperatives","35747"
"Occitanie","Ensemble des cooperatives","28696"
"Pays de la Loire","Ensemble des cooperatives","26269"
"Provence-Alpes-Côte d'Azur","Ensemble des cooperatives","15142"
"Auvergne-Rhône-Alpes","Autre cooperative","14410"
"Auvergne-Rhône-Alpes","Cooperative HLM","149"
"Auvergne-Rhône-Alpes","Cooperative agricole","6013"
"Auvergne-Rhône-Alpes","Cooperative bancaire","11957"
"Auvergne-Rhône-Alpes","Cooperative d artisans","287"
"Auvergne-Rhône-Alpes","Cooperative de commerçants detaillants","297"
"Auvergne-Rhône-Alpes","Cooperative de consommateurs","98"
"Auvergne-Rhône-Alpes","Cooperative de transport","35"
"Auvergne-Rhône-Alpes","SCOP","2716"
"Bourgogne-Franche-Comté","Autre cooperative","4607"
"Bourgogne-Franche-Comté","Cooperative HLM","s"
"Bourgogne-Franche-Comté","Cooperative agricole","3893"
"Bourgogne-Franche-Comté","Cooperative bancaire","4526"
"Bourgogne-Franche-Comté","Cooperative d artisans","87"
"Bourgogne-Franche-Comté","Cooperative de commerçants detaillants","s"
"Bourgogne-Franche-Comté","Cooperative de consommateurs","106"
"Bourgogne-Franche-Comté","Cooperative de transport","27"
"Bourgogne-Franche-Comté","SCOP","774"
"Bretagne","Autre cooperative","10380"
"Bretagne","Cooperative HLM","s"
"Bretagne","Cooperative agricole","8709"
"Bretagne","Cooperative bancaire","5243"
"Bretagne","Cooperative d artisans","514"
"Bretagne","Cooperative de consommateurs","571"
"Bretagne","Cooperative de transport","s"
"Bretagne","Cooperative maritime","200"
"Bretagne","SCOP","2248"
"Centre-Val de Loire","Autre cooperative","3961"
"Centre-Val de Loire","Cooperative HLM","s"
"Centre-Val de Loire","Cooperative agricole","3545"
"Centre-Val de Loire","Cooperative bancaire","4307"
"Centre-Val de Loire","Cooperative d artisans","128"
"Centre-Val de Loire","Cooperative de commerçants detaillants","s"
"Centre-Val de Loire","Cooperative de consommateurs","312"
"Centre-Val de Loire","Cooperative de transport","12"
"Centre-Val de Loire","SCOP","872"
"Corse","Autre cooperative","s"
"Corse","Cooperative HLM","s"
"Corse","Cooperative agricole","228"
"Corse","Cooperative bancaire","528"
"Corse","SCOP","92"
"Grand-Est","Autre cooperative","5735"
"Grand-Est","Cooperative HLM","s"
"Grand-Est","Cooperative agricole","8055"
"Grand-Est","Cooperative bancaire","14009"
"Grand-Est","Cooperative d artisans","125"
"Grand-Est","Cooperative de commerçants detaillants","s"
"Grand-Est","Cooperative de consommateurs","24"
"Grand-Est","Cooperative de transport","s"
"Grand-Est","SCOP","2001"
"Guadeloupe","Autre cooperative","220"
"Guadeloupe","Cooperative HLM","s"
"Guadeloupe","Cooperative agricole","70"
"Guadeloupe","Cooperative bancaire","499"
"Guadeloupe","Cooperative d artisans","18"
"Guadeloupe","Cooperative de transport","6"
"Guadeloupe","SCOP","s"
"Guyane","Autre cooperative","s"
"Guyane","Cooperative agricole","23"
