"REG","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","7479","136906","123909","5044000821"
"France entière","Ensemble","Action sociale sans hebergement","323","7591","6214","147671817"
"France entière","Ensemble","Activites de services financiers et d assurances","188","s","s","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","2","s","s","s"
"France entière","Ensemble","Assurances","4759","84186","78386","3488242846"
"France entière","Ensemble","Hebergement medico-social et social","371","14539","12566","343809358"
"France entière","ACTION SOCIALE (QB)","Ensemble","694","22130","18780","491481175"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4949","86196","80253","3567241940"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","1094","6509","6007","214596184"
"France entière","SANTE HUMAINE (QA)","Ensemble","742","22071","18869","770681522"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","323","7591","6214","147671817"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","371","14539","12566","343809358"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","188","s","s","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","2","s","s","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","4759","84186","78386","3488242846"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","1063","19163","16972","648342444"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","522","8794","7646","235891541"
"Bretagne","Ensemble","Ensemble","399","8388","7556","266597153"
"Centre-Val de Loire","Ensemble","Ensemble","352","7411","6909","281552153"
"Corse","Ensemble","Ensemble","61","518","465","18472073"
"Grand-Est","Ensemble","Ensemble","509","7000","6396","262681699"
"Guadeloupe","Ensemble","Ensemble","36","s","s","s"
"Guyane","Ensemble","Ensemble","11","s","s","s"
"Hauts-de-France","Ensemble","Ensemble","500","6286","5814","234857757"
"Ile-de-France","Ensemble","Ensemble","760","24453","22319","1077805184"
"La Réunion","Ensemble","Ensemble","41","694","632","27835395"
"Martinique","Ensemble","Ensemble","32","502","484","21777714"
"Normandie","Ensemble","Ensemble","461","6091","5523","231314062"
"Nouvelle-Aquitaine","Ensemble","Ensemble","789","18088","16734","750638776"
"Occitanie","Ensemble","Ensemble","840","12861","11666","428327716"
"Pays de la Loire","Ensemble","Ensemble","487","8360","7520","263430291"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","616","7956","6947","280167962"
"Auvergne-Rhône-Alpes","Ensemble","Action sociale sans hebergement","52","1408","1082","27662842"
"Auvergne-Rhône-Alpes","Ensemble","Activites de services financiers et d assurances","21","s","s","16310724"
"Auvergne-Rhône-Alpes","Ensemble","Assurances","639","s","s","366564892"
"Auvergne-Rhône-Alpes","Ensemble","Hebergement medico-social et social","87","3416","2929","82416892"
"Bourgogne-Franche-Comté","Ensemble","Action sociale sans hebergement","50","2566","2055","42327837"
"Bourgogne-Franche-Comté","Ensemble","Activites de services financiers et d assurances","11","30","27","1091137"
"Bourgogne-Franche-Comté","Ensemble","Assurances","281","2758","2577","101659216"
"Bourgogne-Franche-Comté","Ensemble","Hebergement medico-social et social","49","2027","1725","47392128"
"Bretagne","Ensemble","Action sociale sans hebergement","20","511","438","10508078"
"Bretagne","Ensemble","Activites de services financiers et d assurances","8","92","88","3593367"
"Bretagne","Ensemble","Assurances","225","3946","3726","142071350"
"Bretagne","Ensemble","Hebergement medico-social et social","41","1404","1165","30823638"
"Centre-Val de Loire","Ensemble","Action sociale sans hebergement","18","118","106","2571229"
"Centre-Val de Loire","Ensemble","Activites de services financiers et d assurances","11","224","207","8571265"
"Centre-Val de Loire","Ensemble","Assurances","222","5338","5028","218003701"
"Centre-Val de Loire","Ensemble","Hebergement medico-social et social","19","771","694","18808442"
"Corse","Ensemble","Action sociale sans hebergement","3","s","s","717051"
"Corse","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Corse","Ensemble","Assurances","32","s","s","s"
"Corse","Ensemble","Hebergement medico-social et social","6","157","132","s"
"Grand-Est","Ensemble","Action sociale sans hebergement","3","s","s","712590"
"Grand-Est","Ensemble","Activites de services financiers et d assurances","20","105","110","4897983"
"Grand-Est","Ensemble","Assurances","378","5204","4832","202456416"
"Grand-Est","Ensemble","Hebergement medico-social et social","5","s","s","5262075"
"Guadeloupe","Ensemble","Action sociale sans hebergement","2","s","s","s"
"Guadeloupe","Ensemble","Assurances","32","287","273","12214887"
"Guyane","Ensemble","Activites de services financiers et d assurances","2","s","s","s"
"Guyane","Ensemble","Assurances","9","s","s","s"
"Hauts-de-France","Ensemble","Action sociale sans hebergement","2","s","s","s"
"Hauts-de-France","Ensemble","Activites de services financiers et d assurances","12","27","25","1031674"
"Hauts-de-France","Ensemble","Assurances","357","5238","4863","200923264"
"Hauts-de-France","Ensemble","Hebergement medico-social et social","3","s","s","s"
"Ile-de-France","Ensemble","Action sociale sans hebergement","13","363","322","10531832"
"Ile-de-France","Ensemble","Activites de services financiers et d assurances","32","s","s","s"
"Ile-de-France","Ensemble","Activites des services financiers hors assurance et caisses","1","s","s","s"
"Ile-de-France","Ensemble","Assurances","584","17018","16007","820415224"
"Ile-de-France","Ensemble","Hebergement medico-social et social","16","1065","931","27813211"
"La Réunion","Ensemble","Assurances","37","668","608","27030726"
"Martinique","Ensemble","Assurances","30","s","s","s"
"Normandie","Ensemble","Action sociale sans hebergement","13","254","192","4216647"
"Normandie","Ensemble","Activites de services financiers et d assurances","6","s","s","s"
"Normandie","Ensemble","Activites des services financiers hors assurance et caisses","1","s","s","s"
"Normandie","Ensemble","Assurances","249","4213","3819","176038062"
"Normandie","Ensemble","Hebergement medico-social et social","18","660","614","15962009"
"Nouvelle-Aquitaine","Ensemble","Action sociale sans hebergement","33","624","549","13711377"
"Nouvelle-Aquitaine","Ensemble","Activites de services financiers et d assurances","12","43","39","1742654"
"Nouvelle-Aquitaine","Ensemble","Assurances","530","13858","12932","620628227"
"Nouvelle-Aquitaine","Ensemble","Hebergement medico-social et social","28","923","825","21416512"
"Occitanie","Ensemble","Action sociale sans hebergement","39","461","387","8676311"
