"DEP","typo_Asso","typo_Asso_det","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","1814171"
"France entière","Ensemble","Ensemble","Aides","167605"
"France entière","Ensemble","Ensemble","Apprentis","8367"
"France entière","Ensemble","Ensemble","Ordinaires","1631937"
"France entière","Ensemble","Ensemble","Stagiaires","6262"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ensemble","11028"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ensemble","13415"
"France entière","Ensemble","Accueil d enfants handicapes","Ensemble","23912"
"France entière","Ensemble","Accueil des jeunes enfants","Ensemble","38624"
"France entière","Ensemble","Action sociale NCA","Ensemble","135565"
"France entière","Ensemble","Aide a domicile","Ensemble","158463"
"France entière","Ensemble","Aide par le travail","Ensemble","147721"
"France entière","Ensemble","Autres enseignements","Ensemble","25224"
"France entière","Ensemble","Enseignement culturel","Ensemble","8628"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ensemble","241451"
"France entière","Ensemble","Formation continue d adultes","Ensemble","31197"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ensemble","100639"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ensemble","79598"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ensemble","177350"
"France entière","Ensemble","Loisirs","Ensemble","19083"
"France entière","Ensemble","Sports","Ensemble","63239"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Aides","661"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Apprentis","27"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Ordinaires","10280"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","Stagiaires","60"
"France entière","Ensemble","Accueil d enfants et d adolescents","Aides","620"
"France entière","Ensemble","Accueil d enfants et d adolescents","Apprentis","58"
"France entière","Ensemble","Accueil d enfants et d adolescents","Ordinaires","12660"
"France entière","Ensemble","Accueil d enfants et d adolescents","Stagiaires","77"
"France entière","Ensemble","Accueil d enfants handicapes","Aides","553"
"France entière","Ensemble","Accueil d enfants handicapes","Apprentis","70"
"France entière","Ensemble","Accueil d enfants handicapes","Ordinaires","23118"
"France entière","Ensemble","Accueil d enfants handicapes","Stagiaires","171"
"France entière","Ensemble","Accueil des jeunes enfants","Aides","4183"
"France entière","Ensemble","Accueil des jeunes enfants","Apprentis","365"
"France entière","Ensemble","Accueil des jeunes enfants","Ordinaires","34021"
"France entière","Ensemble","Accueil des jeunes enfants","Stagiaires","55"
"France entière","Ensemble","Action sociale NCA","Aides","22811"
"France entière","Ensemble","Action sociale NCA","Apprentis","295"
"France entière","Ensemble","Action sociale NCA","Ordinaires","112081"
"France entière","Ensemble","Action sociale NCA","Stagiaires","378"
"France entière","Ensemble","Aide a domicile","Aides","5876"
"France entière","Ensemble","Aide a domicile","Apprentis","63"
"France entière","Ensemble","Aide a domicile","Ordinaires","152444"
"France entière","Ensemble","Aide a domicile","Stagiaires","80"
"France entière","Ensemble","Aide par le travail","Aides","44464"
"France entière","Ensemble","Aide par le travail","Apprentis","182"
"France entière","Ensemble","Aide par le travail","Ordinaires","102886"
"France entière","Ensemble","Aide par le travail","Stagiaires","189"
"France entière","Ensemble","Autres enseignements","Aides","1601"
"France entière","Ensemble","Autres enseignements","Apprentis","178"
"France entière","Ensemble","Autres enseignements","Ordinaires","23402"
"France entière","Ensemble","Autres enseignements","Stagiaires","43"
"France entière","Ensemble","Enseignement culturel","Aides","250"
"France entière","Ensemble","Enseignement culturel","Apprentis","s"
"France entière","Ensemble","Enseignement culturel","Ordinaires","8343"
"France entière","Ensemble","Enseignement culturel","Stagiaires","s"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Aides","12060"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Apprentis","678"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Ordinaires","228636"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","Stagiaires","77"
"France entière","Ensemble","Formation continue d adultes","Aides","2284"
"France entière","Ensemble","Formation continue d adultes","Apprentis","s"
"France entière","Ensemble","Formation continue d adultes","Ordinaires","28541"
"France entière","Ensemble","Formation continue d adultes","Stagiaires","s"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Aides","4421"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Apprentis","207"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Ordinaires","95946"
"France entière","Ensemble","Hebergement medico-social de personnes agees","Stagiaires","65"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Aides","4804"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Apprentis","422"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Ordinaires","73645"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","Stagiaires","727"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Aides","7621"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Apprentis","629"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Ordinaires","167440"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","Stagiaires","1660"
"France entière","Ensemble","Loisirs","Aides","2491"
"France entière","Ensemble","Loisirs","Apprentis","111"
"France entière","Ensemble","Loisirs","Ordinaires","16471"
"France entière","Ensemble","Loisirs","Stagiaires","10"
"France entière","Ensemble","Sports","Aides","5878"
"France entière","Ensemble","Sports","Apprentis","1634"
"France entière","Ensemble","Sports","Ordinaires","55548"
"France entière","Ensemble","Sports","Stagiaires","179"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","886315"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","4479"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ensemble","31362"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ensemble","63411"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ensemble","307934"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Ensemble","22002"
"France entière","NON-CLASSES (94.99Z)","Ensemble","Ensemble","164066"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","131457"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","120823"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","Ensemble","82322"
"France entière","ACTION SOCIALE (QB)","Ensemble","Aides","96014"
"France entière","ACTION SOCIALE (QB)","Ensemble","Apprentis","2318"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ordinaires","784521"
"France entière","ACTION SOCIALE (QB)","Ensemble","Stagiaires","3462"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Aides","1062"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Apprentis","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ordinaires","3380"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Stagiaires","s"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Aides","3279"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Apprentis","198"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Ordinaires","27774"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","Stagiaires","111"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Aides","4484"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Apprentis","261"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Ordinaires","57607"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","Stagiaires","1059"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Aides","16327"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Apprentis","1131"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Ordinaires","290220"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","Stagiaires","256"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Aides","1834"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Apprentis","s"
