"DEP","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","20622","300698","292623","12295881971"
"France entière","Ensemble","Activites de services financiers et d assurances","41","1030","998","50853168"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","10621","163832","162335","7747966103"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","10662","164862","163333","7798819271"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","815","6542","6280","219408475"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","1497","16350","15004","473384970"
"France entière","COMMERCE (GZ)","Ensemble","3473","49467","48479","1700316232"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2278","47618","45593","1604793905"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1897","15859","13933","499159118"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","41","1030","998","50853168"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","10621","163832","162335","7747966103"
"1","Ensemble","Ensemble","192","1975","1898","75761702"
"2","Ensemble","Ensemble","167","2145","2091","88067068"
"3","Ensemble","Ensemble","122","1474","1418","54123462"
"4","Ensemble","Ensemble","63","654","642","23722572"
"5","Ensemble","Ensemble","65","609","596","20899485"
"6","Ensemble","Ensemble","215","3455","3390","162323144"
"7","Ensemble","Ensemble","146","1342","1302","49504145"
"8","Ensemble","Ensemble","111","1129","1077","40764877"
"9","Ensemble","Ensemble","60","670","660","23506436"
"10","Ensemble","Ensemble","145","2041","1997","82205439"
"11","Ensemble","Ensemble","204","2168","2297","83084254"
"12","Ensemble","Ensemble","176","1699","1638","63735838"
"13","Ensemble","Ensemble","401","4909","4743","216045351"
"14","Ensemble","Ensemble","265","4671","4540","185129150"
"15","Ensemble","Ensemble","75","892","867","33036696"
"16","Ensemble","Ensemble","132","2412","2362","90778752"
"17","Ensemble","Ensemble","321","4681","4591","171510942"
"18","Ensemble","Ensemble","91","1262","1255","48197770"
"19","Ensemble","Ensemble","114","1379","1326","46709989"
"21","Ensemble","Ensemble","196","3124","3072","142160059"
"22","Ensemble","Ensemble","298","7011","6795","234875324"
"23","Ensemble","Ensemble","73","493","469","17532280"
"24","Ensemble","Ensemble","150","2154","2085","77513560"
"25","Ensemble","Ensemble","237","3873","3685","159511633"
"26","Ensemble","Ensemble","233","3073","2993","120020218"
"27","Ensemble","Ensemble","154","1493","1486","62173586"
"28","Ensemble","Ensemble","198","2123","2122","87874786"
"29","Ensemble","Ensemble","435","8195","8136","335734879"
"2A","Ensemble","Ensemble","23","513","494","26399439"
"2B","Ensemble","Ensemble","38","408","367","15494800"
"30","Ensemble","Ensemble","245","2676","2697","109013315"
"31","Ensemble","Ensemble","483","5607","5359","229589890"
"32","Ensemble","Ensemble","97","1758","1690","62563250"
"33","Ensemble","Ensemble","340","6836","6631","292194774"
"34","Ensemble","Ensemble","361","4792","4725","202293661"
"35","Ensemble","Ensemble","394","8326","8124","314422380"
"36","Ensemble","Ensemble","78","981","977","37585763"
"37","Ensemble","Ensemble","262","3036","2999","124461684"
"38","Ensemble","Ensemble","365","5246","5091","212675782"
"39","Ensemble","Ensemble","150","1035","963","35024903"
"40","Ensemble","Ensemble","177","3126","3120","112478408"
"41","Ensemble","Ensemble","110","1457","1431","58601349"
"42","Ensemble","Ensemble","234","3640","3482","143431520"
"43","Ensemble","Ensemble","90","1069","1015","37063037"
"44","Ensemble","Ensemble","560","11122","10517","435379679"
"45","Ensemble","Ensemble","219","4311","4197","184798000"
"46","Ensemble","Ensemble","94","1358","1362","56427913"
"47","Ensemble","Ensemble","161","1962","2047","75940528"
"48","Ensemble","Ensemble","34","294","299","11402758"
"49","Ensemble","Ensemble","384","5589","5486","208643166"
"50","Ensemble","Ensemble","202","3772","3656","136615717"
"51","Ensemble","Ensemble","366","6051","5937","269438958"
"52","Ensemble","Ensemble","67","601","577","22550151"
"53","Ensemble","Ensemble","167","2231","2156","88288193"
"54","Ensemble","Ensemble","192","2282","2240","93201719"
"55","Ensemble","Ensemble","60","980","956","38771423"
"56","Ensemble","Ensemble","298","4461","4360","167931770"
"57","Ensemble","Ensemble","307","4171","4139","188083694"
