"","EPCI","jurid1","nb_etab","non_annexe","eff_EQTP","rem_brut","dep_epci","nom_complet"
"1",200000172,"1-ASSO+FOND",48,"624","532.38","13279661","74","CC Faucigny-Glières"
"2",200000172,"1A-ASSOCIATIONS",46,"s","s","s","74","CC Faucigny-Glières"
"3",200000172,"1B-FONDATIONS",2,"s","s","s","74","CC Faucigny-Glières"
"4",200000172,"2-COOPERATIVES",7,"44","45.74","1927079","74","CC Faucigny-Glières"
"5",200000172,"4-ESS",55,"668","578.12","15206740","74","CC Faucigny-Glières"
"6",200000172,"5-HORS ESS",797,"10522","10309.85","379808753","74","CC Faucigny-Glières"
"7",200000172,"5A-PUBLIC",74,"3130","2866.83","96929231","74","CC Faucigny-Glières"
"8",200000172,"5B-PRIVE",723,"7392","7443.02","282879522","74","CC Faucigny-Glières"
"9",200000172,"6-TOTAL",852,"11190","10887.97","395015493","74","CC Faucigny-Glières"
"10",200000438,"1-ASSO+FOND",93,"1354","1126.59","31224043","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"11",200000438,"1A-ASSOCIATIONS",93,"1354","1126.59","31224043","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"12",200000438,"2-COOPERATIVES",11,"110","109.11","4025131","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"13",200000438,"3-MUTUELLES",3,"9","8.13","285254","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"14",200000438,"4-ESS",107,"1473","1243.83","35534428","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"15",200000438,"5-HORS ESS",646,"4922","4582.41","137352416","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"16",200000438,"5A-PUBLIC",33,"1047","917.25","26842560","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"17",200000438,"5B-PRIVE",613,"3875","3665.16","110509856","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"18",200000438,"6-TOTAL",753,"6395","5826.24","172886844","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"19",200000545,"1-ASSO+FOND",39,"401","357.27","9031763","10","CC des Portes de Romilly sur Seine"
"20",200000545,"1A-ASSOCIATIONS",39,"401","357.27","9031763","10","CC des Portes de Romilly sur Seine"
"21",200000545,"2-COOPERATIVES",6,"59","58.1","2356984","10","CC des Portes de Romilly sur Seine"
"22",200000545,"3-MUTUELLES",6,"33","28.94","1247072","10","CC des Portes de Romilly sur Seine"
"23",200000545,"4-ESS",51,"493","444.31","12635819","10","CC des Portes de Romilly sur Seine"
"24",200000545,"5-HORS ESS",472,"4675","4457.35","135375129","10","CC des Portes de Romilly sur Seine"
"25",200000545,"5A-PUBLIC",42,"1715","1636.88","54251623","10","CC des Portes de Romilly sur Seine"
"26",200000545,"5B-PRIVE",430,"2960","2820.47","81123506","10","CC des Portes de Romilly sur Seine"
"27",200000545,"6-TOTAL",523,"5168","4901.66","148010948","10","CC des Portes de Romilly sur Seine"
"28",200000628,"1-ASSO+FOND",37,"455","382.35","8725906","84","CC Rhône Lez Provence"
