"","EPCI","jurid2","typo1","nb_etab","non_annexe","eff_EQTP","rem_brut","dep_epci","nom_complet"
"1",200000172,"1-TOTAL-ESS","TOUS SECTEURS",55,"668","578.12","15206740","74","CC Faucigny-Glières"
"2",200000172,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",7,"44","45.74","1927079","74","CC Faucigny-Glières"
"3",200000172,"1-TOTAL-ESS","2-ENSEIGNEMENT",3,"8","3.98","88165","74","CC Faucigny-Glières"
"4",200000172,"1-TOTAL-ESS","3-SANTÉ HUMAINE",4,"s","s","s","74","CC Faucigny-Glières"
"5",200000172,"1-TOTAL-ESS","4-ACTION SOCIALE",10,"392","335.39","6503666","74","CC Faucigny-Glières"
"6",200000172,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",15,"13","7.73","217163","74","CC Faucigny-Glières"
"7",200000172,"1-TOTAL-ESS","6-NON-CLASSES",8,"26","19.89","550473","74","CC Faucigny-Glières"
"8",200000172,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","74","CC Faucigny-Glières"
"9",200000172,"1-TOTAL-ESS","8-SERVICES DIVERS",7,"42","37.46","1225451","74","CC Faucigny-Glières"
"10",200000172,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",46,"512","432.57","9882636","74","CC Faucigny-Glières"
"11",200000172,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",3,"8","3.98","88165","74","CC Faucigny-Glières"
"12",200000172,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","74","CC Faucigny-Glières"
"13",200000172,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",10,"392","335.39","6503666","74","CC Faucigny-Glières"
"14",200000172,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",15,"13","7.73","217163","74","CC Faucigny-Glières"
"15",200000172,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",8,"26","19.89","550473","74","CC Faucigny-Glières"
"16",200000172,"2-TOTAL-ASSOCIATIONS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","74","CC Faucigny-Glières"
"17",200000172,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",7,"42","37.46","1225451","74","CC Faucigny-Glières"
"18",200000172,"3-TOTAL-HORS ESS","TOUS SECTEURS",797,"10522","10309.85","379808753","74","CC Faucigny-Glières"
"19",200000172,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",34,"119","116.33","6297943","74","CC Faucigny-Glières"
"20",200000172,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",35,"597","559.61","19096771","74","CC Faucigny-Glières"
"21",200000172,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",31,"1578","1435.47","50710212","74","CC Faucigny-Glières"
"22",200000172,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",11,"224","197.78","6202158","74","CC Faucigny-Glières"
"23",200000172,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",3,"19","18.77","464561","74","CC Faucigny-Glières"
"24",200000172,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",274,"4685","4825.2","181815974","74","CC Faucigny-Glières"
"25",200000172,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",409,"3300","3156.69","115221134","74","CC Faucigny-Glières"
"26",200000438,"1-TOTAL-ESS","TOUS SECTEURS",107,"1473","1243.83","35534428","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"27",200000438,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",8,"56","54.15","2444305","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"28",200000438,"1-TOTAL-ESS","2-ENSEIGNEMENT",21,"332","280.66","9435783","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"29",200000438,"1-TOTAL-ESS","3-SANTÉ HUMAINE",4,"46","33.68","1231854","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"30",200000438,"1-TOTAL-ESS","4-ACTION SOCIALE",18,"861","715.91","17892214","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"31",200000438,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",21,"14","9.41","248184","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"32",200000438,"1-TOTAL-ESS","6-NON-CLASSES",15,"25","17.78","449085","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"33",200000438,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",3,"55","55.97","1637379","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"34",200000438,"1-TOTAL-ESS","8-SERVICES DIVERS",17,"84","76.27","2195624","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"35",200000438,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",93,"1354","1126.59","31224043","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"36",200000438,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",21,"332","280.66","9435783","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"37",200000438,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",4,"46","33.68","1231854","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"38",200000438,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",18,"861","715.91","17892214","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"39",200000438,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",21,"14","9.41","248184","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"40",200000438,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",15,"25","17.78","449085","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"41",200000438,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",14,"76","69.15","1966923","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"42",200000438,"3-TOTAL-HORS ESS","TOUS SECTEURS",646,"4922","4582.41","137352416","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"43",200000438,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",22,"59","55.38","1893581","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"44",200000438,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",23,"340","314.64","10589442","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"45",200000438,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",32,"48","45.4","1119161","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"46",200000438,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",1,"s","s","s","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"47",200000438,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",6,"s","s","s","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"48",200000438,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",215,"1991","1968.13","62140210","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"49",200000438,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",347,"2305","2053.08","57812195","44","CC du Pays de Pontchâteau St-Gildas-des-Bois"
"50",200000545,"1-TOTAL-ESS","TOUS SECTEURS",51,"493","444.31","12635819","10","CC des Portes de Romilly sur Seine"
"51",200000545,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",8,"47","49.42","2122514","10","CC des Portes de Romilly sur Seine"
"52",200000545,"1-TOTAL-ESS","2-ENSEIGNEMENT",3,"46","41.1","1234572","10","CC des Portes de Romilly sur Seine"
"53",200000545,"1-TOTAL-ESS","3-SANTÉ HUMAINE",3,"s","s","s","10","CC des Portes de Romilly sur Seine"
"54",200000545,"1-TOTAL-ESS","4-ACTION SOCIALE",9,"193","166.61","3856741","10","CC des Portes de Romilly sur Seine"
"55",200000545,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",9,"13","10.26","283786","10","CC des Portes de Romilly sur Seine"
"56",200000545,"1-TOTAL-ESS","6-NON-CLASSES",7,"41","32.66","726776","10","CC des Portes de Romilly sur Seine"
"57",200000545,"1-TOTAL-ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","10","CC des Portes de Romilly sur Seine"
"58",200000545,"1-TOTAL-ESS","8-SERVICES DIVERS",11,"122","117.72","3184175","10","CC des Portes de Romilly sur Seine"
"59",200000545,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",39,"401","357.27","9031763","10","CC des Portes de Romilly sur Seine"
"60",200000545,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",3,"46","41.1","1234572","10","CC des Portes de Romilly sur Seine"
"61",200000545,"2-TOTAL-ASSOCIATIONS","3-SANTÉ HUMAINE",2,"s","s","s","10","CC des Portes de Romilly sur Seine"
"62",200000545,"2-TOTAL-ASSOCIATIONS","4-ACTION SOCIALE",9,"193","166.61","3856741","10","CC des Portes de Romilly sur Seine"
"63",200000545,"2-TOTAL-ASSOCIATIONS","5-ARTS SPECTACLES SPORT ET LOISIRS",9,"13","10.26","283786","10","CC des Portes de Romilly sur Seine"
"64",200000545,"2-TOTAL-ASSOCIATIONS","6-NON-CLASSES",7,"41","32.66","726776","10","CC des Portes de Romilly sur Seine"
"65",200000545,"2-TOTAL-ASSOCIATIONS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",1,"s","s","s","10","CC des Portes de Romilly sur Seine"
"66",200000545,"2-TOTAL-ASSOCIATIONS","8-SERVICES DIVERS",8,"93","93.42","2330886","10","CC des Portes de Romilly sur Seine"
"67",200000545,"3-TOTAL-HORS ESS","TOUS SECTEURS",472,"4675","4457.35","135375129","10","CC des Portes de Romilly sur Seine"
"68",200000545,"3-TOTAL-HORS ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",17,"90","82.88","2909201","10","CC des Portes de Romilly sur Seine"
"69",200000545,"3-TOTAL-HORS ESS","2-ENSEIGNEMENT",23,"465","432.34","15270327","10","CC des Portes de Romilly sur Seine"
"70",200000545,"3-TOTAL-HORS ESS","3-SANTÉ HUMAINE",25,"625","586.31","19635324","10","CC des Portes de Romilly sur Seine"
"71",200000545,"3-TOTAL-HORS ESS","4-ACTION SOCIALE",2,"s","s","s","10","CC des Portes de Romilly sur Seine"
"72",200000545,"3-TOTAL-HORS ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",4,"s","s","s","10","CC des Portes de Romilly sur Seine"
"73",200000545,"3-TOTAL-HORS ESS","7-AGRICULTURE, INDUSTRIE, CONSTRUCTION",96,"1058","1049.42","32046077","10","CC des Portes de Romilly sur Seine"
"74",200000545,"3-TOTAL-HORS ESS","8-SERVICES DIVERS",305,"2339","2210.63","63102060","10","CC des Portes de Romilly sur Seine"
"75",200000628,"1-TOTAL-ESS","TOUS SECTEURS",45,"497","434.35","10959415","84","CC Rhône Lez Provence"
"76",200000628,"1-TOTAL-ESS","1-ACTIVITES FINANCIERES ET D ASSURANCE",4,"11","10.01","382039","84","CC Rhône Lez Provence"
"77",200000628,"1-TOTAL-ESS","2-ENSEIGNEMENT",1,"s","s","s","84","CC Rhône Lez Provence"
"78",200000628,"1-TOTAL-ESS","3-SANTÉ HUMAINE",1,"s","s","s","84","CC Rhône Lez Provence"
"79",200000628,"1-TOTAL-ESS","4-ACTION SOCIALE",5,"267","238.75","5135148","84","CC Rhône Lez Provence"
"80",200000628,"1-TOTAL-ESS","5-ARTS SPECTACLES SPORT ET LOISIRS",18,"11","11.61","276949","84","CC Rhône Lez Provence"
"81",200000628,"1-TOTAL-ESS","6-NON-CLASSES",8,"27","20.59","585189","84","CC Rhône Lez Provence"
"82",200000628,"1-TOTAL-ESS","8-SERVICES DIVERS",8,"149","128.05","3669083","84","CC Rhône Lez Provence"
"83",200000628,"2-TOTAL-ASSOCIATIONS","TOUS SECTEURS",37,"455","382.35","8725906","84","CC Rhône Lez Provence"
"84",200000628,"2-TOTAL-ASSOCIATIONS","2-ENSEIGNEMENT",1,"s","s","s","84","CC Rhône Lez Provence"
