"DEP","ESS","famille","typo_A","typo_A_det","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2302429","1831851","22909638","21447371","783084444311"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","54140","28816","1549337","1336274","35017412936"
"France entière","ESS + Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","100564","62132","849524","817338","47658789918"
"France entière","ESS + Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","100605","98468","241935","246604","6444599731"
"France entière","ESS + Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","29316","26611","115290","121792","4576490382"
"France entière","ESS + Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","101055","46053","1702419","1542548","55673678791"
"France entière","ESS + Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","205574","179988","983360","948761","24609901129"
"France entière","ESS + Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","397988","348552","4486974","4338837","168101273667"
"France entière","ESS + Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","44427","39385","169812","147886","4630499223"
"France entière","ESS + Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","83972","71754","1604197","1465033","50083133228"
"France entière","ESS + Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","1135946","884926","11051587","10345011","381362328421"
"France entière","ESS + Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","48842","45166","155203","137287","4926336885"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","17308","6738","728337","650252","18471806498"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","212718","154679","2320553","2059266","66697556102"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2089711","1677172","20589085","19388105","716386888209"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4069","2622","42387","36190","888877742"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4382","3581","157396","119638","2716092520"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2050","433","151308","134598","2287425311"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","11790","6169","188846","158779","4579911516"
"France entière","ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","11268","3193","405635","357148","10217314178"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","5428","2611","51775","46068","1118357047"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4310","3123","89270","67382","1442347986"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","189","80","11134","7773","197754917"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres actions sociales","4614","3459","128884","115594","3314839399"
"France entière","Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","6040","3545","322702","293104","8254492320"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","33559","15998","945572","806352","20689621267"
"France entière","ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","18869","2147","254383","248903","11942892429"
"France entière","ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1432","1256","11356","10803","328208167"
"France entière","ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","21869","20546","31016","34834","1215117867"
"France entière","ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","20388","15906","317559","275430","9602748790"
"France entière","ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3414","2126","22884","24096","666578353"
"France entière","ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2639","2157","53287","51475","1793400413"
"France entière","ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","43351","39082","160182","138923","4253322521"
"France entière","ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","4837","1944","182633","159152","6212212179"
"France entière","ESS","Ensemble","SERVICES DIVERS","Ensemble","28111","20902","264794","247253","8173851636"
"France entière","ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","34249","32615","76887","62043","1819602480"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","20581","12818","603765","529921","14327791669"
"France entière","Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","81695","59985","595141","568434","35715897489"
"France entière","Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","99173","97212","230579","235801","6116391564"
"France entière","Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","7447","6065","84274","86957","3361372515"
"France entière","Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","80667","30147","1384860","1267118","46070930001"
"France entière","Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","202160","177862","960476","924664","23943322776"
"France entière","Hors ESS","Ensemble","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","395349","346395","4433687","4287362","166307873254"
"France entière","Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","1076","303","9630","8963","377176702"
"France entière","Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","79135","69810","1421564","1305881","43870921049"
"France entière","Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","1107835","864024","10786793","10097758","373188476785"
"France entière","Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","14593","12551","78316","75244","3106734405"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","4069","2622","42387","36190","888877742"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","4382","3581","157396","119638","2716092520"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","2050","433","151308","134598","2287425311"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","11790","6169","188846","158779","4579911516"
"France entière","ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","11268","3193","405635","357148","10217314178"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Accueil des jeunes enfants","5428","2611","51775","46068","1118357047"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide a domicile","4310","3123","89270","67382","1442347986"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Aide par le travail","189","80","11134","7773","197754917"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Autres actions sociales","4614","3459","128884","115594","3314839399"
"France entière","Hors ESS","Ensemble","ACTION SOCIALE (QB)","Hebergement medico-social et social","6040","3545","322702","293104","8254492320"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Ensemble","23880","7982","303916","297381","12826013031"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Ensemble","7329","636","132915","122342","5064427368"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Ensemble","179565","145526","1787426","1553201","45866553829"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Ensemble","1944","535","96296","86341","2940561874"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Ensemble","1948980","1612740","14938337","14129372","536290114266"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Ensemble","140731","64432","5650748","5258733","180096773943"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Accueil des jeunes enfants","53","22","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Aide a domicile","37","30","1482","1007","21892264"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Aide par le travail","6","2","s","s","s"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Autres actions sociales","37","25","378","360","8805605"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble des secteurs d'activité","Hebergement medico-social et social","15","15","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Accueil des jeunes enfants","197","18","1753","1553","36808946"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Aide a domicile","47","1","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Aide par le travail","24","2","s","s","s"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Autres actions sociales","72","12","801","703","22606198"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble des secteurs d'activité","Hebergement medico-social et social","376","15","s","s","s"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3785","2581","39532","33709","827699664"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Aide a domicile","4286","3548","152635","115825","2626842415"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Aide par le travail","1964","424","144738","128733","2179242120"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Autres actions sociales","11410","6087","182669","153440","4397344693"
"France entière","ESS + Hors ESS","3. Association","Ensemble des secteurs d'activité","Hebergement medico-social et social","10216","3094","357994","314907","8998197580"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Accueil des jeunes enfants","34","1","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Aide a domicile","12","2","s","s","s"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Aide par le travail","56","5","4571","4103","73664791"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Autres actions sociales","271","45","4998","4276","151155020"
"France entière","ESS + Hors ESS","4. Fondation","Ensemble des secteurs d'activité","Hebergement medico-social et social","661","69","33111","29435","865077684"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4695","2546","35449","30978","694807447"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3928","3026","75082","55721","1176080889"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","83","48","2664","2471","56492471"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","497","349","6164","5519","173209245"
"France entière","ESS + Hors ESS","Privé Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2397","1681","104850","93849","2639720742"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Accueil des jeunes enfants","733","65","16326","15090","423549600"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Aide a domicile","382","97","14188","11660","266267097"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Aide par le travail","106","32","8470","5302","141262446"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Autres actions sociales","4117","3110","122720","110075","3141630154"
"France entière","ESS + Hors ESS","Public","Ensemble des secteurs d'activité","Hebergement medico-social et social","3643","1864","217852","199255","5614771578"
"France entière","ESS + Hors ESS","1. Coopérative","ACTION SOCIALE (QB)","Ensemble","148","94","2695","2020","48063216"
"France entière","ESS + Hors ESS","1. Coopérative","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","13865","1579","167569","166270","8152842362"
"France entière","ESS + Hors ESS","1. Coopérative","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","820","722","6666","6470","230976589"
