"DEP","typo_Coop","typo_Coop_det","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","303916"
"France entière","Ensemble","Ensemble","Aides","6457"
"France entière","Ensemble","Ensemble","Apprentis","4782"
"France entière","Ensemble","Ensemble","Ordinaires","292169"
"France entière","Ensemble","Ensemble","Stagiaires","508"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","1409"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","164534"
"France entière","Ensemble","Assurances","Ensemble","1626"
"France entière","Ensemble","Activites de services financiers et d assurances","Aides","35"
"France entière","Ensemble","Activites de services financiers et d assurances","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ordinaires","1368"
"France entière","Ensemble","Activites de services financiers et d assurances","Stagiaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Aides","3774"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Apprentis","2480"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ordinaires","157857"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Stagiaires","423"
"France entière","Ensemble","Assurances","Aides","93"
"France entière","Ensemble","Assurances","Apprentis","s"
"France entière","Ensemble","Assurances","Ordinaires","1495"
"France entière","Ensemble","Assurances","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","167569"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ensemble","6666"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ensemble","17194"
"France entière","COMMERCE (GZ)","Ensemble","Ensemble","48489"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ensemble","48049"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ensemble","15949"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Aides","3902"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Apprentis","2521"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ordinaires","160720"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Stagiaires","426"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Aides","s"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Apprentis","135"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Ordinaires","6459"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Stagiaires","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Aides","465"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Apprentis","121"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Ordinaires","16592"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","Stagiaires","16"
"France entière","COMMERCE (GZ)","Ensemble","Aides","s"
"France entière","COMMERCE (GZ)","Ensemble","Apprentis","635"
"France entière","COMMERCE (GZ)","Ensemble","Ordinaires","47237"
"France entière","COMMERCE (GZ)","Ensemble","Stagiaires","s"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Aides","1102"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Apprentis","1121"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Ordinaires","45803"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","Stagiaires","23"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Aides","s"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Apprentis","249"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Ordinaires","15358"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ensemble","1409"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ensemble","164534"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ensemble","1626"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Aides","35"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Ordinaires","1368"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Aides","3774"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Apprentis","2480"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Ordinaires","157857"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","Stagiaires","423"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Aides","93"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Apprentis","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Ordinaires","1495"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","Stagiaires","s"
"1","Ensemble","Ensemble","Ensemble","1888"
"2","Ensemble","Ensemble","Ensemble","2078"
"3","Ensemble","Ensemble","Ensemble","1462"
"4","Ensemble","Ensemble","Ensemble","761"
"5","Ensemble","Ensemble","Ensemble","766"
"6","Ensemble","Ensemble","Ensemble","3417"
"7","Ensemble","Ensemble","Ensemble","1310"
"8","Ensemble","Ensemble","Ensemble","1026"
"9","Ensemble","Ensemble","Ensemble","660"
"10","Ensemble","Ensemble","Ensemble","1927"
"11","Ensemble","Ensemble","Ensemble","2213"
"12","Ensemble","Ensemble","Ensemble","1676"
"13","Ensemble","Ensemble","Ensemble","6617"
"14","Ensemble","Ensemble","Ensemble","4681"
"15","Ensemble","Ensemble","Ensemble","917"
"16","Ensemble","Ensemble","Ensemble","2236"
"17","Ensemble","Ensemble","Ensemble","4712"
"18","Ensemble","Ensemble","Ensemble","1271"
"19","Ensemble","Ensemble","Ensemble","1322"
"21","Ensemble","Ensemble","Ensemble","3106"
"22","Ensemble","Ensemble","Ensemble","7147"
"23","Ensemble","Ensemble","Ensemble","469"
"24","Ensemble","Ensemble","Ensemble","2072"
"25","Ensemble","Ensemble","Ensemble","3214"
"26","Ensemble","Ensemble","Ensemble","3059"
"27","Ensemble","Ensemble","Ensemble","1483"
"28","Ensemble","Ensemble","Ensemble","2086"
"29","Ensemble","Ensemble","Ensemble","8433"
"2A","Ensemble","Ensemble","Ensemble","473"
"2B","Ensemble","Ensemble","Ensemble","574"
"30","Ensemble","Ensemble","Ensemble","2650"
"31","Ensemble","Ensemble","Ensemble","5679"
"32","Ensemble","Ensemble","Ensemble","1689"
"33","Ensemble","Ensemble","Ensemble","6903"
"34","Ensemble","Ensemble","Ensemble","4868"
"35","Ensemble","Ensemble","Ensemble","7756"
"36","Ensemble","Ensemble","Ensemble","940"
"37","Ensemble","Ensemble","Ensemble","3218"
"38","Ensemble","Ensemble","Ensemble","5298"
"39","Ensemble","Ensemble","Ensemble","1406"
"40","Ensemble","Ensemble","Ensemble","3019"
"41","Ensemble","Ensemble","Ensemble","1545"
"42","Ensemble","Ensemble","Ensemble","3564"
"43","Ensemble","Ensemble","Ensemble","1056"
"44","Ensemble","Ensemble","Ensemble","9801"
"45","Ensemble","Ensemble","Ensemble","4660"
"46","Ensemble","Ensemble","Ensemble","1311"
"47","Ensemble","Ensemble","Ensemble","1931"
