"DEP","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","7329","132915","122342","5064427368"
"France entière","Ensemble","Action sociale sans hebergement","340","7023","6087","143049471"
"France entière","Ensemble","Activites de services financiers et d assurances","180","s","s","83085362"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","3","s","s","13686123"
"France entière","Ensemble","Assurances","4608","80750","76578","3479677868"
"France entière","Ensemble","Hebergement medico-social et social","376","14291","12612","347783143"
"France entière","ACTION SOCIALE (QB)","Ensemble","716","21314","18698","490832614"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4791","82820","78492","3576449353"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","1090","6891","6413","216346550"
"France entière","SANTE HUMAINE (QA)","Ensemble","732","21890","18739","780798851"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","340","7023","6087","143049471"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","376","14291","12612","347783143"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","180","s","s","83085362"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","3","s","s","13686123"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","4608","80750","76578","3479677868"
"1","Ensemble","Ensemble","77","851","770","27805890"
"2","Ensemble","Ensemble","56","358","402","15036333"
"3","Ensemble","Ensemble","45","579","554","22427136"
"4","Ensemble","Ensemble","32","222","204","8434873"
"5","Ensemble","Ensemble","24","95","92","4089447"
"6","Ensemble","Ensemble","129","1315","1168","44158024"
"7","Ensemble","Ensemble","56","777","702","20427095"
"8","Ensemble","Ensemble","38","336","340","9804773"
"9","Ensemble","Ensemble","20","83","80","2883015"
"10","Ensemble","Ensemble","36","402","396","14257147"
"11","Ensemble","Ensemble","44","339","314","11120856"
"12","Ensemble","Ensemble","72","916","833","29186445"
"13","Ensemble","Ensemble","220","3655","3231","137583567"
"14","Ensemble","Ensemble","141","1380","1341","42755885"
"15","Ensemble","Ensemble","23","202","193","7155233"
"16","Ensemble","Ensemble","58","956","933","31399976"
"17","Ensemble","Ensemble","76","869","801","30457130"
"18","Ensemble","Ensemble","43","479","463","15726722"
"19","Ensemble","Ensemble","41","361","330","11500176"
"21","Ensemble","Ensemble","116","3836","3327","95487697"
"22","Ensemble","Ensemble","66","1213","1085","38432231"
"23","Ensemble","Ensemble","21","487","458","16157093"
"24","Ensemble","Ensemble","36","190","185","6705316"
