"DEP","typo_Mut","typo_Mut_det","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","132915"
"France entière","Ensemble","Ensemble","Aides","2539"
"France entière","Ensemble","Ensemble","Apprentis","913"
"France entière","Ensemble","Ensemble","Ordinaires","129331"
"France entière","Ensemble","Ensemble","Stagiaires","132"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","7023"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","s"
"France entière","Ensemble","Assurances","Ensemble","80750"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","14291"
"France entière","Ensemble","Action sociale sans hebergement","Aides","115"
"France entière","Ensemble","Action sociale sans hebergement","Apprentis","s"
"France entière","Ensemble","Action sociale sans hebergement","Ordinaires","6888"
"France entière","Ensemble","Action sociale sans hebergement","Stagiaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ordinaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Apprentis","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ordinaires","s"
"France entière","Ensemble","Assurances","Aides","1557"
"France entière","Ensemble","Assurances","Apprentis","673"
"France entière","Ensemble","Assurances","Ordinaires","78464"
"France entière","Ensemble","Assurances","Stagiaires","56"
"France entière","Ensemble","Hebergement medico-social et social","Aides","528"
"France entière","Ensemble","Hebergement medico-social et social","Apprentis","s"
"France entière","Ensemble","Hebergement medico-social et social","Ordinaires","13676"
"France entière","Ensemble","Hebergement medico-social et social","Stagiaires","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ensemble","21314"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ensemble","82820"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ensemble","6891"
"France entière","SANTE HUMAINE (QA)","Ensemble","Ensemble","21890"
"France entière","ACTION SOCIALE (QB)","Ensemble","Aides","643"
"France entière","ACTION SOCIALE (QB)","Ensemble","Apprentis","s"
"France entière","ACTION SOCIALE (QB)","Ensemble","Ordinaires","20564"
"France entière","ACTION SOCIALE (QB)","Ensemble","Stagiaires","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Aides","1596"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Apprentis","698"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Ordinaires","80470"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Stagiaires","56"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Aides","140"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Apprentis","s"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Ordinaires","6642"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","Stagiaires","s"
"France entière","SANTE HUMAINE (QA)","Ensemble","Aides","160"
"France entière","SANTE HUMAINE (QA)","Ensemble","Apprentis","s"
