"REG","ESS","famille","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble","Toutes entreprises","2302429","1831851","22909638","21447371","783084444311"
"France entière","ESS + Hors ESS","Ensemble","1 - Micro entreprise","1906023","1579471","4289933","4202240","129778874501"
"France entière","ESS + Hors ESS","Ensemble","2 - Petites entreprises","315949","204233","5891038","5400497","186487689055"
"France entière","ESS + Hors ESS","Ensemble","3 - Moyennes entreprises","70166","42331","6312312","5844407","217024359452"
"France entière","ESS + Hors ESS","Ensemble","4 - Grandes entreprises","10291","5816","6416355","6000226","249793521303"
"France entière","ESS","Ensemble","Toutes entreprises","212718","154679","2320553","2059266","66697556102"
"France entière","Hors ESS","Ensemble","Toutes entreprises","2089711","1677172","20589085","19388105","716386888209"
"France entière","ESS","Ensemble","1 - Micro entreprise","160088","125160","309573","302955","10075902961"
"France entière","ESS","Ensemble","2 - Petites entreprises","40777","23404","777949","668389","21313204037"
"France entière","ESS","Ensemble","3 - Moyennes entreprises","11161","5706","913156","797681","23842193963"
"France entière","ESS","Ensemble","4 - Grandes entreprises","692","409","319875","290241","11466255141"
"France entière","Hors ESS","Ensemble","1 - Micro entreprise","1745935","1454311","3980360","3899285","119702971540"
"France entière","Hors ESS","Ensemble","2 - Petites entreprises","275172","180829","5113089","4732108","165174485018"
"France entière","Hors ESS","Ensemble","3 - Moyennes entreprises","59005","36625","5399156","5046726","193182165489"
"France entière","Hors ESS","Ensemble","4 - Grandes entreprises","9599","5407","6096480","5709986","238327266162"
"France entière","ESS + Hors ESS","1. Coopérative","Toutes entreprises","23880","7982","303916","297381","12826013031"
"France entière","ESS + Hors ESS","2. Mutuelle","Toutes entreprises","7329","636","132915","122342","5064427368"
"France entière","ESS + Hors ESS","3. Association","Toutes entreprises","179565","145526","1787426","1553201","45866553829"
"France entière","ESS + Hors ESS","4. Fondation","Toutes entreprises","1944","535","96296","86341","2940561874"
"France entière","ESS + Hors ESS","Privé Hors ESS","Toutes entreprises","1948980","1612740","14938337","14129372","536290114266"
"France entière","ESS + Hors ESS","Public","Toutes entreprises","140731","64432","5650748","5258733","180096773943"
"France entière","ESS + Hors ESS","1. Coopérative","1 - Micro entreprise","18264","5904","64527","66784","2729635924"
