"REG","ESS_simp","typo_B","typo_B_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Tous établissements","2302429","1831851","22909638","21447371","783084444311"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","1931924","1599501","4474901","4363475","134315412725"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","296074","188273","5946300","5440993","187809980421"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","65111","38801","6259470","5798330","215981126122"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","9320","5276","6228967","5844573","244977925043"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Tous établissements","9497","5233","94162","82258","2007234789"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Tous établissements","8692","6704","246666","187020","4158440506"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Tous établissements","2239","513","162442","142371","2485180228"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Tous établissements","16404","9628","317730","274374","7894750915"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Tous établissements","14339","12922","122794","92294","2816711876"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Tous établissements","65118","16698","1450175","1336389","49021297213"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Tous établissements","21598","16433","129450","113864","3835669702"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Tous établissements","17308","6738","728337","650252","18471806498"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","6233","3667","26987","24336","553232043"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","3168","1520","55442","47947","1174064573"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","87","46","7292","6582","178773624"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","9","0","4441","3393","101164549"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","2935","2278","8887","10449","237815910"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","4663","3637","111523","80234","1778197931"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","1016","726","87703","66407","1474083840"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","78","63","38553","29929","668342825"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","312","112","1098","1390","35970826"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","719","182","18853","16946","394243807"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1155","206","125410","109229","1809119160"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","53","13","17081","14806","245846435"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","1 - Micro entreprise","9397","5902","29564","27677","823214745"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","2 - Petites entreprises","5649","2859","120978","100699","2935415903"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","3 - Moyennes entreprises","1248","804","114024","98289","2677334003"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","4 - Grandes entreprises","110","63","53164","47709","1458786264"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","12863","11822","20146","17061","481899105"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","1155","890","22722","17687","620619733"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","3 - Moyennes entreprises","241","159","23150","18814","703842324"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","4 - Grandes entreprises","80","51","56776","38733","1010350714"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","36721","3857","163966","156869","5438991972"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","20623","6125","419193","381098","13240822495"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","7411","6473","655047","604567","23172849495"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","363","243","211969","193855","7168633251"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","1 - Micro entreprise","18831","15001","42399","40627","1222965001"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","2 - Petites entreprises","2390","1296","47293","40767","1448456255"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","3 - Moyennes entreprises","361","131","32558","26914","960500758"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","4 - Grandes entreprises","16","5","7200","5556","203747688"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","3701","1269","15193","15772","462553602"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","7334","2423","211975","186818","5317118146"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","6198","2999","469275","418362","11812036289"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","75","47","31894","29300","880098461"
"France entière","ESS + Hors ESS","ACTION SOCIALE (QB)","Ensemble","Tous établissements","54140","28816","1549337","1336274","35017412936"
"France entière","ESS + Hors ESS","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Tous établissements","100564","62132","849524","817338","47658789918"
"France entière","ESS + Hors ESS","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Tous établissements","100605","98468","241935","246604","6444599731"
"France entière","ESS + Hors ESS","ARTS SPECTACLES (RZ1)","Ensemble","Tous établissements","29316","26611","115290","121792","4576490382"
"France entière","ESS + Hors ESS","COMMERCE (GZ)","Ensemble","Tous établissements","448719","323860","3091840","2871617","97086615197"
"France entière","ESS + Hors ESS","ENSEIGNEMENT (PZ)","Ensemble","Tous établissements","101055","46053","1702419","1542548","55673678791"
