"REG","ESS_simp","typo_B","typo_B_det","sexe","CSP","nb_poste"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Ensemble","Ensemble","22872142"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","4690910"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Ensemble","Employes","7116607"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Ensemble","Ouvriers et Non codes","5830000"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Ensemble","Professions intermediaires","5234625"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Femmes","Ensemble","11199228"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Hommes","Ensemble","11672914"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1929383"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Femmes","Employes","5008518"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Femmes","Ouvriers et Non codes","1302227"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Femmes","Professions intermediaires","2959100"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","2761527"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Hommes","Employes","2108089"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Hommes","Ouvriers et Non codes","4527773"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Ensemble","Hommes","Professions intermediaires","2275525"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Ensemble","Ensemble","94102"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Ensemble","Ensemble","246543"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Ensemble","Ensemble","162368"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Ensemble","Ensemble","316095"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Ensemble","Ensemble","122711"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Ensemble","Ensemble","1449731"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Ensemble","Ensemble","128336"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Ensemble","Ensemble","727690"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","2362"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Ensemble","Employes","56368"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Ensemble","Ouvriers et Non codes","4443"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Ensemble","Professions intermediaires","30929"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","3734"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Ensemble","Employes","231298"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Ensemble","Ouvriers et Non codes","2264"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Ensemble","Professions intermediaires","9247"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","3162"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Ensemble","Employes","15676"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Ensemble","Ouvriers et Non codes","116198"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Ensemble","Professions intermediaires","27332"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","25567"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Ensemble","Employes","139619"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Ensemble","Ouvriers et Non codes","46439"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Ensemble","Professions intermediaires","104470"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","23104"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Ensemble","Employes","16876"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Ensemble","Ouvriers et Non codes","3957"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Ensemble","Professions intermediaires","78774"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","567579"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Ensemble","Employes","127891"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Ensemble","Ouvriers et Non codes","29046"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Ensemble","Professions intermediaires","725215"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","29529"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Ensemble","Employes","28374"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Ensemble","Ouvriers et Non codes","3165"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Ensemble","Professions intermediaires","67268"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Ensemble","Cadres professions intellectuelles supérieures et chefs d entreprises","38085"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Ensemble","Employes","415114"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Ensemble","Ouvriers et Non codes","57331"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Ensemble","Professions intermediaires","217160"
"France entière","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Ensemble","88826"
