"REG","typo_Coop","typo_Coop_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","23880","303916","297381","12826013031"
"France entière","Ensemble","Activites de services financiers et d assurances","42","1409","1379","76978334"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","13815","164534","163312","8003546370"
"France entière","Ensemble","Assurances","8","1626","1579","72317658"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","13865","167569","166270","8152842362"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","820","6666","6470","230976589"
"France entière","AUTRES SECTEURS D ACTIVITE DES COOPERATIVES","Ensemble","1556","17194","15486","502271524"
"France entière","COMMERCE (GZ)","Ensemble","3365","48489","47953","1728309895"
"France entière","INDUSTRIE+CONSTRUCTION (BE+FZ)","Ensemble","2320","48049","46687","1685185903"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","1954","15949","14514","526426758"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","42","1409","1379","76978334"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","13815","164534","163312","8003546370"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","8","1626","1579","72317658"
"Auvergne-Rhône-Alpes","Ensemble","Ensemble","2967","35465","34559","1459457796"
"Bourgogne-Franche-Comté","Ensemble","Ensemble","1362","14112","13766","586931882"
"Bretagne","Ensemble","Ensemble","1743","27813","27216","1103965922"
"Centre-Val de Loire","Ensemble","Ensemble","1081","13720","13668","578040790"
"Corse","Ensemble","Ensemble","84","1047","979","47457736"
"Grand-Est","Ensemble","Ensemble","2495","29346","28719","1267358654"
"Guadeloupe","Ensemble","Ensemble","108","1053","1057","57737715"
"Guyane","Ensemble","Ensemble","24","177","168","7661639"
"Hauts-de-France","Ensemble","Ensemble","1739","19638","19071","843131497"
"Ile-de-France","Ensemble","Ensemble","1891","34248","33467","1747434137"
"La Réunion","Ensemble","Ensemble","199","3050","2722","127506591"
"Martinique","Ensemble","Ensemble","112","1072","1074","58248351"
"Normandie","Ensemble","Ensemble","1335","15738","15621","647193587"
"Nouvelle-Aquitaine","Ensemble","Ensemble","2689","35268","34694","1367279425"
"Occitanie","Ensemble","Ensemble","2665","28410","28204","1139877453"
"Pays de la Loire","Ensemble","Ensemble","1896","26152","25309","1024062902"
"Provence-Alpes-Côte d'Azur","Ensemble","Ensemble","1490","17607","17089","762666954"
"Auvergne-Rhône-Alpes","Ensemble","Activites de services financiers et d assurances","3","30","29","1468037"
"Auvergne-Rhône-Alpes","Ensemble","Activites des services financiers hors assurance et caisses","1749","21355","21238","1007982315"
"Bourgogne-Franche-Comté","Ensemble","Activites des services financiers hors assurance et caisses","839","s","s","s"
"Bourgogne-Franche-Comté","Ensemble","Assurances","1","s","s","s"
"Bretagne","Ensemble","Activites de services financiers et d assurances","6","11","9","374480"
"Bretagne","Ensemble","Activites des services financiers hors assurance et caisses","758","13119","12958","622422833"
"Centre-Val de Loire","Ensemble","Activites de services financiers et d assurances","3","s","s","s"
"Centre-Val de Loire","Ensemble","Activites des services financiers hors assurance et caisses","661","7747","7586","348185270"
"Centre-Val de Loire","Ensemble","Assurances","4","s","s","s"
"Corse","Ensemble","Activites des services financiers hors assurance et caisses","47","648","636","33567627"
