"REG","typo_Mut","typo_Mut_det","sexe","type_emploi","nb_poste"
"France entière","Ensemble","Ensemble","Ensemble","Ensemble","132915"
"France entière","Ensemble","Ensemble","Ensemble","Aides","2539"
"France entière","Ensemble","Ensemble","Ensemble","Apprentis","913"
"France entière","Ensemble","Ensemble","Ensemble","Ordinaires","129331"
"France entière","Ensemble","Ensemble","Ensemble","Stagiaires","132"
"France entière","Ensemble","Ensemble","Femmes","Ensemble","97635"
"France entière","Ensemble","Ensemble","Hommes","Ensemble","35280"
"France entière","Ensemble","Ensemble","Femmes","Aides","1710"
"France entière","Ensemble","Ensemble","Femmes","Apprentis","578"
"France entière","Ensemble","Ensemble","Femmes","Ordinaires","95250"
"France entière","Ensemble","Ensemble","Femmes","Stagiaires","97"
"France entière","Ensemble","Ensemble","Hommes","Aides","829"
"France entière","Ensemble","Ensemble","Hommes","Apprentis","335"
"France entière","Ensemble","Ensemble","Hommes","Ordinaires","34081"
"France entière","Ensemble","Ensemble","Hommes","Stagiaires","35"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Ensemble","7023"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ensemble","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Ensemble","s"
"France entière","Ensemble","Assurances","Ensemble","Ensemble","80750"
"France entière","Ensemble","Hebergement medico-social et social","Ensemble","Ensemble","14291"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Aides","115"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Apprentis","s"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Ordinaires","6888"
"France entière","Ensemble","Action sociale sans hebergement","Ensemble","Stagiaires","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Aides","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Apprentis","s"
"France entière","Ensemble","Activites de services financiers et d assurances","Ensemble","Ordinaires","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Aides","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","Ensemble","Apprentis","s"
