"ESS","famille","typo_C","typo_C_det","taille_etab","IDF","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","Toutes entreprises","Ensemble","2302429","1831851","22909638","21447371","783084444311"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","Toutes entreprises","Hors IDF","1831163","1444727","17373580","16238479","545777568784"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","Toutes entreprises","IDF","471266","387124","5536058","5208892","237306875527"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","Ensemble","1906023","1579471","4289933","4202240","129778874501"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","Ensemble","315949","204233","5891038","5400497","186487689055"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","Ensemble","70166","42331","6312312","5844407","217024359452"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","Ensemble","10291","5816","6416355","6000226","249793521303"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","Hors IDF","1517279","1244893","3438637","3365492","99033866112"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","1 - Micro entreprise","IDF","388744","334578","851296","836748","30745008389"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","Hors IDF","251422","161991","4695429","4313920","141102494826"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","2 - Petites entreprises","IDF","64527","42242","1195609","1086577","45385194229"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","Hors IDF","55272","33630","4940477","4559180","157113443378"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","3 - Moyennes entreprises","IDF","14894","8701","1371835","1285227","59910916074"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","Hors IDF","7190","4213","4299037","3999887","148527764468"
"ESS + Hors ESS","Ensemble","Ensemble des secteurs d'activité","Ensemble","4 - Grandes entreprises","IDF","3101","1603","2117318","2000339","101265756835"
