"nom_jurid_2","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"Ensemble","Toutes entreprises","212718","154679","2320553","2059266","66697556102"
"Ensemble","1 - Micro entreprise","160088","125160","309573","302955","10075902961"
"Ensemble","2 - Petites entreprises","40777","23404","777949","668389","21313204037"
"Ensemble","3 - Moyennes entreprises","11161","5706","913156","797681","23842193963"
"Ensemble","4 - Grandes entreprises","692","409","319875","290241","11466255141"
"Association","Toutes entreprises","170769","140455","1615038","1395676","41637053910"
"Association d insertion par l economique","Toutes entreprises","630","483","17410","13919","305753805"
"Association reconnue d utilite publique","Toutes entreprises","4198","735","124863","110758","3089358044"
"Autre cooperative","Toutes entreprises","5066","1667","64321","62259","2698376446"
"Autre mutuelle","Toutes entreprises","26","12","493","471","20549384"
"Cooperative HLM","Toutes entreprises","60","48","1386","1323","54164030"
"Cooperative agricole","Toutes entreprises","5118","2846","64638","64521","2397599486"
"Cooperative bancaire","Toutes entreprises","11033","1615","133637","132126","6463278415"
"Cooperative d artisans","Toutes entreprises","309","250","3280","3149","101912984"
"Cooperative de commerçants detaillants","Toutes entreprises","63","51","3400","3244","115550051"
"Cooperative de consommateurs","Toutes entreprises","269","61","5015","4768","125606096"
"Cooperative de transport","Toutes entreprises","50","41","365","341","9567594"
"Cooperative maritime","Toutes entreprises","75","53","506","469","16929228"
"Fondation","Toutes entreprises","1944","535","96296","86341","2940561874"
"Groupement d employeurs","Toutes entreprises","3968","3853","30115","32848","834388070"
"Mutuelle d assurance","Toutes entreprises","1951","86","46511","43776","2174000109"
"Mutuelle de sante","Toutes entreprises","5352","538","85911","78095","2869877875"
"SCOP","Toutes entreprises","1837","1350","27368","25182","843028701"
"Association","1 - Micro entreprise","130605","114915","212192","201788","6161578049"
"Association","2 - Petites entreprises","31486","20484","597667","500440","15239158069"
"Association","3 - Moyennes entreprises","8334","4807","662844","570598","16300646743"
"Association","4 - Grandes entreprises","344","249","142335","122849","3935671049"
"Association d insertion par l economique","1 - Micro entreprise","172","111","s","s","s"
"Association d insertion par l economique","2 - Petites entreprises","284","219","5941","4917","111020784"
"Association d insertion par l economique","3 - Moyennes entreprises","172","151","10665","8104","173351690"
"Association d insertion par l economique","4 - Grandes entreprises","2","2","s","s","s"
"Association reconnue d utilite publique","1 - Micro entreprise","1867","434","5677","5515","167551927"
"Association reconnue d utilite publique","2 - Petites entreprises","1480","163","33682","29603","886279778"
"Association reconnue d utilite publique","3 - Moyennes entreprises","812","119","69709","61707","1594552473"
"Association reconnue d utilite publique","4 - Grandes entreprises","39","19","15795","13934","440973866"
"Autre cooperative","1 - Micro entreprise","3955","1203","14766","15442","624491872"
"Autre cooperative","2 - Petites entreprises","929","370","16441","15328","617343119"
"Autre cooperative","3 - Moyennes entreprises","145","77","13407","12507","497409163"
"Autre cooperative","4 - Grandes entreprises","37","17","19707","18982","959132292"
"Autre mutuelle","1 - Micro entreprise","21","8","s","s","s"
"Autre mutuelle","2 - Petites entreprises","4","3","s","s","8226565"
"Autre mutuelle","4 - Grandes entreprises","1","1","s","s","s"
"Cooperative HLM","1 - Micro entreprise","40","29","133","114","4805063"
"Cooperative HLM","2 - Petites entreprises","17","16","368","344","15795690"
"Cooperative HLM","3 - Moyennes entreprises","1","1","s","s","s"
"Cooperative HLM","4 - Grandes entreprises","2","2","s","s","s"
"Cooperative agricole","1 - Micro entreprise","3951","2135","10271","10990","370384470"
"Cooperative agricole","2 - Petites entreprises","906","539","18423","18591","670192263"
"Cooperative agricole","3 - Moyennes entreprises","230","155","22461","21917","859236593"
"Cooperative agricole","4 - Grandes entreprises","31","17","13483","13025","497786160"
"Cooperative bancaire","1 - Micro entreprise","8660","1367","33671","34400","1542492990"
"Cooperative bancaire","2 - Petites entreprises","2152","199","33612","32691","1546817506"
"Cooperative bancaire","3 - Moyennes entreprises","130","14","15551","15221","786277593"
"Cooperative bancaire","4 - Grandes entreprises","91","35","50803","49813","2587690326"
"Cooperative d artisans","1 - Micro entreprise","230","188","s","s","s"
"Cooperative d artisans","2 - Petites entreprises","65","50","1312","1241","40082302"
"Cooperative d artisans","3 - Moyennes entreprises","13","11","1070","1000","32505179"
