"DEP","ESS","famille","sexe","type_emploi","nb_poste"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","22909638"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Aides","467940"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","418336"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","21977277"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","46085"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Ensemble","11219484"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Ensemble","11690154"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Aides","252978"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Apprentis","138738"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","10803500"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","24268"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Aides","214962"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Apprentis","279598"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Ordinaires","11173777"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Stagiaires","21817"
"France entière","ESS","Ensemble","Ensemble","Ensemble","2320553"
"France entière","Hors ESS","Ensemble","Ensemble","Ensemble","20589085"
"France entière","ESS","Ensemble","Ensemble","Aides","149396"
"France entière","ESS","Ensemble","Ensemble","Apprentis","16041"
"France entière","ESS","Ensemble","Ensemble","Ordinaires","2147550"
"France entière","ESS","Ensemble","Ensemble","Stagiaires","7566"
"France entière","Hors ESS","Ensemble","Ensemble","Aides","318544"
"France entière","Hors ESS","Ensemble","Ensemble","Apprentis","402295"
"France entière","Hors ESS","Ensemble","Ensemble","Ordinaires","19829727"
"France entière","Hors ESS","Ensemble","Ensemble","Stagiaires","38519"
"France entière","ESS","Ensemble","Femmes","Ensemble","1552258"
"France entière","ESS","Ensemble","Hommes","Ensemble","768295"
"France entière","Hors ESS","Ensemble","Femmes","Ensemble","9667226"
"France entière","Hors ESS","Ensemble","Hommes","Ensemble","10921859"
"France entière","ESS","Ensemble","Femmes","Aides","74313"
"France entière","ESS","Ensemble","Femmes","Apprentis","7673"
