"DEP","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","179565","1787426","1553201","45866553829"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","929","11242","9517","270201819"
"France entière","Ensemble","Accueil d enfants et d adolescents","650","13126","11408","353919477"
"France entière","Ensemble","Accueil d enfants handicapes","1107","23816","19051","631504546"
"France entière","Ensemble","Accueil des jeunes enfants","3785","39532","33709","827699664"
"France entière","Ensemble","Action sociale NCA","8724","134485","113464","3141718851"
"France entière","Ensemble","Aide a domicile","4286","152635","115825","2626842415"
"France entière","Ensemble","Aide par le travail","1964","144738","128733","2179242120"
"France entière","Ensemble","Autres enseignements","4924","24168","19896","674762645"
"France entière","Ensemble","Enseignement culturel","2653","7649","4930","146525266"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","9024","244755","214508","7519397908"
"France entière","Ensemble","Formation continue d adultes","3217","29621","25894","888025118"
"France entière","Ensemble","Hebergement medico-social de personnes agees","2301","98878","86654","2410185393"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","3565","83222","73892","2144007701"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","4350","175894","154361","4444004486"
"France entière","Ensemble","Loisirs","3024","16443","14268","361950042"
"France entière","Ensemble","Sports","31196","60266","47599","1453321107"
"France entière","ACTION SOCIALE (QB)","Ensemble","31661","877568","746614","19029326472"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","605","4649","4299","96229132"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","21705","29163","32782","1140354800"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","9392","61024","54131","1805637922"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","19971","307642","266467","9264532216"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3176","21227","22436","619729670"
"France entière","NON-CLASSES (94.99Z)","Ensemble","43073","157699","136613","4155946973"
"France entière","SANTE HUMAINE (QA)","Ensemble","3838","127373","110916","4350223685"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","11924","124372","117076","3589301810"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","34220","76709","61867","1815271149"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","929","11242","9517","270201819"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","650","13126","11408","353919477"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","1107","23816","19051","631504546"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","3785","39532","33709","827699664"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","8724","134485","113464","3141718851"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","4286","152635","115825","2626842415"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","1964","144738","128733","2179242120"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","2301","98878","86654","2410185393"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","3565","83222","73892","2144007701"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","4350","175894","154361","4444004486"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","4924","24168","19896","674762645"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","2653","7649","4930","146525266"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","9024","244755","214508","7519397908"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","3217","29621","25894","888025118"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","3024","16443","14268","361950042"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","31196","60266","47599","1453321107"
"1","Ensemble","Ensemble","1647","16453","14015","394794160"
"2","Ensemble","Ensemble","1126","11482","9798","264314973"
"3","Ensemble","Ensemble","835","8752","7505","198274025"
"4","Ensemble","Ensemble","722","4540","4008","105217146"
"5","Ensemble","Ensemble","727","5297","4707","128806388"
"6","Ensemble","Ensemble","2231","22324","19589","624109897"
"7","Ensemble","Ensemble","1206","10404","8783","250415322"
"8","Ensemble","Ensemble","607","6588","5578","149452253"
"9","Ensemble","Ensemble","621","4145","3691","91769337"
"10","Ensemble","Ensemble","773","7727","6797","181993472"
"11","Ensemble","Ensemble","1064","9186","8277","215251329"
"12","Ensemble","Ensemble","1121","11892","10458","290217323"
"13","Ensemble","Ensemble","5803","58795","51405","1557709603"
"14","Ensemble","Ensemble","2075","20377","17641","497416394"
"15","Ensemble","Ensemble","540","5844","5026","127793326"
"16","Ensemble","Ensemble","922","9346","8135","210887494"
"17","Ensemble","Ensemble","1702","15345","13532","374599091"
"18","Ensemble","Ensemble","776","7427","6406","167528819"
"19","Ensemble","Ensemble","681","6309","5687","153515734"
