"DEP","nom_jurid_coop","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble des cooperatives","23880","303916","297381","12826013031"
"France entière","Autre cooperative","5066","64321","62259","2698376446"
"France entière","Cooperative HLM","60","1386","1323","54164030"
"France entière","Cooperative agricole","5118","64638","64521","2397599486"
"France entière","Cooperative bancaire","11033","133637","132126","6463278415"
"France entière","Cooperative d artisans","309","3280","3149","101912984"
"France entière","Cooperative de commerçants detaillants","63","3400","3244","115550051"
"France entière","Cooperative de consommateurs","269","5015","4768","125606096"
"France entière","Cooperative de transport","50","365","341","9567594"
"France entière","Cooperative maritime","75","506","469","16929228"
"France entière","SCOP","1837","27368","25182","843028701"
"1","Ensemble des cooperatives","247","1888","1861","77360236"
"2","Ensemble des cooperatives","195","2078","2058","91182447"
"3","Ensemble des cooperatives","149","1462","1443","56695645"
"4","Ensemble des cooperatives","94","761","709","27457135"
"5","Ensemble des cooperatives","83","766","700","26136804"
"6","Ensemble des cooperatives","255","3417","3348","157304722"
"7","Ensemble des cooperatives","174","1310","1289","48878267"
"8","Ensemble des cooperatives","126","1026","1026","40081181"
"9","Ensemble des cooperatives","70","660","637","23227291"
"10","Ensemble des cooperatives","170","1927","1901","78938458"
"11","Ensemble des cooperatives","218","2213","2348","87512343"
"12","Ensemble des cooperatives","214","1676","1622","64298182"
"13","Ensemble des cooperatives","538","6617","6346","304016132"
"14","Ensemble des cooperatives","289","4681","4626","194512725"
"15","Ensemble des cooperatives","101","917","902","36419132"
"16","Ensemble des cooperatives","151","2236","2180","87207042"
"17","Ensemble des cooperatives","356","4712","4630","174710620"
"18","Ensemble des cooperatives","127","1271","1264","48418837"
"19","Ensemble des cooperatives","140","1322","1318","47224571"
"21","Ensemble des cooperatives","229","3106","3048","144989834"
"22","Ensemble des cooperatives","371","7147","6879","254593299"
"23","Ensemble des cooperatives","84","469","466","17857372"
"24","Ensemble des cooperatives","189","2072","1992","75518537"
"25","Ensemble des cooperatives","277","3214","3069","133638169"
"26","Ensemble des cooperatives","268","3059","3019","122725473"
"27","Ensemble des cooperatives","204","1483","1511","65472442"
"28","Ensemble des cooperatives","199","2086","2128","88407838"
"29","Ensemble des cooperatives","531","8433","8332","364379643"
"2A","Ensemble des cooperatives","30","473","452","23710352"
"2B","Ensemble des cooperatives","54","574","527","23747384"
"30","Ensemble des cooperatives","284","2650","2656","109780207"
"31","Ensemble des cooperatives","492","5679","5520","238303438"
"32","Ensemble des cooperatives","119","1689","1653","63406344"
"33","Ensemble des cooperatives","428","6903","6751","312011989"
"34","Ensemble des cooperatives","418","4868","4819","210004776"
"35","Ensemble des cooperatives","476","7756","7574","306338931"
"36","Ensemble des cooperatives","76","940","954","36413309"
"37","Ensemble des cooperatives","303","3218","3145","131989095"
"38","Ensemble des cooperatives","394","5298","5119","215316053"
"39","Ensemble des cooperatives","169","1406","1316","51239946"
"40","Ensemble des cooperatives","218","3019","3045","113169544"
"41","Ensemble des cooperatives","113","1545","1529","63940405"
"42","Ensemble des cooperatives","229","3564","3446","140889983"
"43","Ensemble des cooperatives","88","1056","1023","37915439"
"44","Ensemble des cooperatives","614","9801","9288","394796953"
"45","Ensemble des cooperatives","263","4660","4649","208871306"
"46","Ensemble des cooperatives","120","1311","1285","48718203"
"47","Ensemble des cooperatives","198","1931","1989","77272759"
"48","Ensemble des cooperatives","45","304","293","11266695"
"49","Ensemble des cooperatives","416","5637","5526","216555552"
"50","Ensemble des cooperatives","242","3808","3719","142814746"
"51","Ensemble des cooperatives","390","5876","5784","265863522"
"52","Ensemble des cooperatives","83","600","588","22900991"
"53","Ensemble des cooperatives","181","2200","2137","87475924"
"54","Ensemble des cooperatives","190","2230","2175","92225273"
"55","Ensemble des cooperatives","60","985","955","39179949"
"56","Ensemble des cooperatives","365","4477","4431","178654049"
"57","Ensemble des cooperatives","298","4094","4076","188178624"
"58","Ensemble des cooperatives","137","1028","989","39632534"
"59","Ensemble des cooperatives","721","7522","7280","340101583"
"60","Ensemble des cooperatives","158","2304","2277","99024100"
"61","Ensemble des cooperatives","173","1147","1137","44889073"
"62","Ensemble des cooperatives","497","4715","4548","190404427"
"63","Ensemble des cooperatives","253","3580","3537","155038199"
"64","Ensemble des cooperatives","301","3542","3465","142671436"
"65","Ensemble des cooperatives","99","861","828","33002363"
"66","Ensemble des cooperatives","179","2670","2793","110636605"
"67","Ensemble des cooperatives","611","6540","6302","297787890"
"68","Ensemble des cooperatives","385","4121","3995","171740006"
"69","Ensemble des cooperatives","561","7102","6922","319900715"
"70","Ensemble des cooperatives","83","849","843","34964023"
"71","Ensemble des cooperatives","251","2091","2092","87248731"
"72","Ensemble des cooperatives","238","2772","2721","106500980"
"73","Ensemble des cooperatives","217","2823","2627","102512998"
"74","Ensemble des cooperatives","286","3406","3371","145805656"
"75","Ensemble des cooperatives","518","15846","15216","905073289"
"76","Ensemble des cooperatives","427","4619","4628","199504601"
"77","Ensemble des cooperatives","256","3410","3292","143674811"
"78","Ensemble des cooperatives","221","2345","2252","104589759"
"79","Ensemble des cooperatives","235","3264","3196","107786933"
"80","Ensemble des cooperatives","168","3019","2908","122418940"
"81","Ensemble des cooperatives","247","2296","2302","86631622"
"82","Ensemble des cooperatives","160","1533","1447","53089384"
"83","Ensemble des cooperatives","312","2877","2817","122155965"
"84","Ensemble des cooperatives","208","3169","3169","125596196"
"85","Ensemble des cooperatives","447","5742","5636","218733493"
"86","Ensemble des cooperatives","233","2815","2773","104404302"
"87","Ensemble des cooperatives","156","2983","2889","107444320"
"88","Ensemble des cooperatives","182","1947","1916","70462760"
"89","Ensemble des cooperatives","168","2049","2043","78958456"
"90","Ensemble des cooperatives","48","369","365","16260189"
"91","Ensemble des cooperatives","197","2342","2357","107719811"
"92","Ensemble des cooperatives","207","3415","3463","178164621"
"93","Ensemble des cooperatives","173","1929","1939","76278628"
"94","Ensemble des cooperatives","190","3451","3458","170122683"
"95","Ensemble des cooperatives","129","1510","1489","61810535"
"971","Ensemble des cooperatives","108","1053","1057","57737715"
"972","Ensemble des cooperatives","112","1072","1074","58248351"
"973","Ensemble des cooperatives","24","177","168","7661639"
"974","Ensemble des cooperatives","199","3050","2722","127506591"
"1","Autre cooperative","96","612","592","26468668"
"1","Cooperative HLM","2","s","s","s"
"1","Cooperative agricole","80","585","594","21644213"
