"DEP","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","7479","136906","123909","5044000821"
"France entière","Ensemble","Action sociale sans hebergement","323","7591","6214","147671817"
"France entière","Ensemble","Activites de services financiers et d assurances","188","s","s","s"
"France entière","Ensemble","Activites des services financiers hors assurance et caisses","2","s","s","s"
"France entière","Ensemble","Assurances","4759","84186","78386","3488242846"
"France entière","Ensemble","Hebergement medico-social et social","371","14539","12566","343809358"
"France entière","ACTION SOCIALE (QB)","Ensemble","694","22130","18780","491481175"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4949","86196","80253","3567241940"
"France entière","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","1094","6509","6007","214596184"
"France entière","SANTE HUMAINE (QA)","Ensemble","742","22071","18869","770681522"
"France entière","ACTION SOCIALE (QB)","Action sociale sans hebergement","323","7591","6214","147671817"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social et social","371","14539","12566","343809358"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","188","s","s","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites des services financiers hors assurance et caisses","2","s","s","s"
"France entière","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","4759","84186","78386","3488242846"
"1","Ensemble","Ensemble","78","888","764","27793627"
"2","Ensemble","Ensemble","51","411","397","15388694"
"3","Ensemble","Ensemble","46","586","533","22332983"
"4","Ensemble","Ensemble","32","242","215","8691223"
"5","Ensemble","Ensemble","26","104","96","4109615"
"6","Ensemble","Ensemble","136","1379","1188","44925469"
"7","Ensemble","Ensemble","58","887","767","22054664"
"8","Ensemble","Ensemble","36","335","279","9488791"
"9","Ensemble","Ensemble","20","86","79","2824877"
"10","Ensemble","Ensemble","37","421","386","14440003"
"11","Ensemble","Ensemble","47","332","315","11200863"
"12","Ensemble","Ensemble","68","919","846","29453834"
"13","Ensemble","Ensemble","230","3756","3247","134665521"
"14","Ensemble","Ensemble","140","1483","1339","43176800"
"15","Ensemble","Ensemble","27","202","197","7334007"
"16","Ensemble","Ensemble","59","1016","928","30712497"
"17","Ensemble","Ensemble","79","720","660","23415883"
"18","Ensemble","Ensemble","47","505","489","16491159"
"19","Ensemble","Ensemble","42","292","278","10118282"
"21","Ensemble","Ensemble","119","3902","3328","93064202"
"22","Ensemble","Ensemble","65","1242","1102","37515388"
"23","Ensemble","Ensemble","17","497","455","16233641"
"24","Ensemble","Ensemble","40","195","193","6815628"
"25","Ensemble","Ensemble","84","1430","1238","41530052"
"26","Ensemble","Ensemble","107","2789","2353","73908861"
"27","Ensemble","Ensemble","57","263","249","10154111"
"28","Ensemble","Ensemble","40","s","s","s"
"29","Ensemble","Ensemble","121","2259","2027","67458110"
"2A","Ensemble","Ensemble","25","228","204","7935889"
"2B","Ensemble","Ensemble","36","290","262","10536184"
"30","Ensemble","Ensemble","103","847","759","29152185"
"31","Ensemble","Ensemble","168","2591","2386","95119753"
"32","Ensemble","Ensemble","18","230","209","7933397"
"33","Ensemble","Ensemble","164","3164","2874","111204532"
"34","Ensemble","Ensemble","169","4307","3893","145603488"
"35","Ensemble","Ensemble","111","2574","2345","93972007"
"36","Ensemble","Ensemble","31","173","166","6593749"
"37","Ensemble","Ensemble","103","2223","1999","77068081"
"38","Ensemble","Ensemble","166","4026","3549","134599424"
"39","Ensemble","Ensemble","58","540","479","16789945"
"40","Ensemble","Ensemble","47","263","245","9717868"
"41","Ensemble","Ensemble","50","619","556","20603229"
"42","Ensemble","Ensemble","109","3047","2641","100976078"
"43","Ensemble","Ensemble","22","252","214","7779945"
"44","Ensemble","Ensemble","188","3786","3372","119652658"
"45","Ensemble","Ensemble","81","2319","2180","93371328"
"46","Ensemble","Ensemble","28","424","389","13222392"
"47","Ensemble","Ensemble","55","533","473","22261602"
"48","Ensemble","Ensemble","17","46","s","s"
"49","Ensemble","Ensemble","124","2489","2298","71798257"
"50","Ensemble","Ensemble","39","191","177","6761647"
"51","Ensemble","Ensemble","52","995","928","41982099"
"52","Ensemble","Ensemble","22","192","184","7209868"
"53","Ensemble","Ensemble","30","482","411","17498362"
"54","Ensemble","Ensemble","97","1508","1394","53164448"
"55","Ensemble","Ensemble","25","126","115","4640298"
"56","Ensemble","Ensemble","102","2313","2081","67651648"
"57","Ensemble","Ensemble","70","549","515","20365041"
"58","Ensemble","Ensemble","37","404","354","11068232"
"59","Ensemble","Ensemble","221","2946","2723","107596933"
"60","Ensemble","Ensemble","51","1097","1008","43252004"
"61","Ensemble","Ensemble","45","395","353","11708597"
"62","Ensemble","Ensemble","115","1302","1189","49577480"
"63","Ensemble","Ensemble","106","1203","1111","41394475"
"64","Ensemble","Ensemble","77","957","896","37229723"
"65","Ensemble","Ensemble","36","495","439","14521587"
"66","Ensemble","Ensemble","36","735","689","23736277"
"67","Ensemble","Ensemble","73","1396","1284","56382163"
"68","Ensemble","Ensemble","51","1099","969","42776680"
"69","Ensemble","Ensemble","193","3690","3371","151922655"
"70","Ensemble","Ensemble","33","273","245","9163621"
"71","Ensemble","Ensemble","99","1270","1127","35294864"
"72","Ensemble","Ensemble","58","642","608","25518881"
"73","Ensemble","Ensemble","52","534","496","19904562"
"74","Ensemble","Ensemble","99","1059","977","38341163"
"75","Ensemble","Ensemble","338","14358","13142","680506734"
"76","Ensemble","Ensemble","180","3759","3405","159512907"
"77","Ensemble","Ensemble","68","1201","1044","40514032"
"78","Ensemble","Ensemble","65","1836","1668","64014908"
"79","Ensemble","Ensemble","55","8474","7952","422009360"
"80","Ensemble","Ensemble","62","530","498","19042646"
"81","Ensemble","Ensemble","90","1203","1068","35354792"
"82","Ensemble","Ensemble","40","646","553","18635465"
"83","Ensemble","Ensemble","103","1717","1532","60011903"
"84","Ensemble","Ensemble","89","758","670","27764231"
"85","Ensemble","Ensemble","87","961","831","28962133"
"86","Ensemble","Ensemble","52","991","888","31882742"
"87","Ensemble","Ensemble","102","986","893","29037018"
"88","Ensemble","Ensemble","46","379","341","12232308"
"89","Ensemble","Ensemble","53","622","555","18080544"
"90","Ensemble","Ensemble","39","353","319","10900081"
