"DEP","ESS","famille","sexe","type_emploi","nb_poste"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Ensemble","22854619"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Aides","566502"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Apprentis","405829"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Ordinaires","21836279"
"France entière","ESS + Hors ESS","Ensemble","Ensemble","Stagiaires","46009"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Ensemble","11210598"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Ensemble","11644021"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Aides","318792"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Apprentis","136861"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Ordinaires","10730877"
"France entière","ESS + Hors ESS","Ensemble","Femmes","Stagiaires","24068"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Aides","247710"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Apprentis","268968"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Ordinaires","11105402"
"France entière","ESS + Hors ESS","Ensemble","Hommes","Stagiaires","21941"
"France entière","ESS","Ensemble","Ensemble","Ensemble","2340650"
"France entière","Hors ESS","Ensemble","Ensemble","Ensemble","20513969"
"France entière","ESS","Ensemble","Ensemble","Aides","179390"
"France entière","ESS","Ensemble","Ensemble","Apprentis","14102"
"France entière","ESS","Ensemble","Ensemble","Ordinaires","2139563"
"France entière","ESS","Ensemble","Ensemble","Stagiaires","7595"
"France entière","Hors ESS","Ensemble","Ensemble","Aides","387112"
"France entière","Hors ESS","Ensemble","Ensemble","Apprentis","391727"
"France entière","Hors ESS","Ensemble","Ensemble","Ordinaires","19696716"
"France entière","Hors ESS","Ensemble","Ensemble","Stagiaires","38414"
"France entière","ESS","Ensemble","Femmes","Ensemble","1564184"
"France entière","ESS","Ensemble","Hommes","Ensemble","776466"
"France entière","Hors ESS","Ensemble","Femmes","Ensemble","9646414"
"France entière","Hors ESS","Ensemble","Hommes","Ensemble","10867555"
"France entière","ESS","Ensemble","Femmes","Aides","95000"
"France entière","ESS","Ensemble","Femmes","Apprentis","6914"
"France entière","ESS","Ensemble","Femmes","Ordinaires","1457128"
"France entière","ESS","Ensemble","Femmes","Stagiaires","5142"
"France entière","ESS","Ensemble","Hommes","Aides","84390"
"France entière","ESS","Ensemble","Hommes","Apprentis","7188"
"France entière","ESS","Ensemble","Hommes","Ordinaires","682435"
"France entière","ESS","Ensemble","Hommes","Stagiaires","2453"
"France entière","Hors ESS","Ensemble","Femmes","Aides","223792"
"France entière","Hors ESS","Ensemble","Femmes","Apprentis","129947"
"France entière","Hors ESS","Ensemble","Femmes","Ordinaires","9273749"
"France entière","Hors ESS","Ensemble","Femmes","Stagiaires","18926"
"France entière","Hors ESS","Ensemble","Hommes","Aides","163320"
"France entière","Hors ESS","Ensemble","Hommes","Apprentis","261780"
"France entière","Hors ESS","Ensemble","Hommes","Ordinaires","10422967"
"France entière","Hors ESS","Ensemble","Hommes","Stagiaires","19488"
"France entière","ESS + Hors ESS","1. Coopérative","Ensemble","Ensemble","300698"
"France entière","ESS + Hors ESS","2. Mutuelle","Ensemble","Ensemble","136906"
