"DEP","typo_Asso","typo_Asso_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"France entière","Ensemble","Ensemble","181598","1814171","1557168","45139891153"
"France entière","Ensemble","Accueil d adultes handicapes ou pers. agees","847","11028","9213","252100842"
"France entière","Ensemble","Accueil d enfants et d adolescents","642","13415","11331","345673422"
"France entière","Ensemble","Accueil d enfants handicapes","1093","23912","19345","617500991"
"France entière","Ensemble","Accueil des jeunes enfants","3780","38624","33032","800326939"
"France entière","Ensemble","Action sociale NCA","8783","135565","111939","3043145376"
"France entière","Ensemble","Aide a domicile","4369","158463","115351","2619457674"
"France entière","Ensemble","Aide par le travail","2057","147721","127783","2181979105"
"France entière","Ensemble","Autres enseignements","4920","25224","20673","667815503"
"France entière","Ensemble","Enseignement culturel","2564","8628","4975","142224891"
"France entière","Ensemble","Enseignement primaire/secondaire/supérieur","9000","241451","215717","7385139097"
"France entière","Ensemble","Formation continue d adultes","3331","31197","27889","924479401"
"France entière","Ensemble","Hebergement medico-social de personnes agees","2324","100639","86822","2393678982"
"France entière","Ensemble","Hebergement medico-social de personnes en difficulte","3444","79598","69201","2042822543"
"France entière","Ensemble","Hebergement medico-social de personnes handicapees","4355","177350","154109","4379355511"
"France entière","Ensemble","Loisirs","3095","19083","15672","389272695"
"France entière","Ensemble","Sports","31929","63239","50440","1419646682"
"France entière","ACTION SOCIALE (QB)","Ensemble","31694","886315","738125","18676041385"
"France entière","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","601","4479","3819","90635008"
"France entière","ARTS SPECTACLES (RZ1)","Ensemble","21363","31362","35656","1133551535"
"France entière","AUTRES SECTEURS D ACTIVITE DES ASSOCIATIONS","Ensemble","9468","63411","54287","1769731133"
"France entière","ENSEIGNEMENT (PZ)","Ensemble","19967","307934","270466","9154539068"
"France entière","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","3211","22002","22715","617125772"
"France entière","NON-CLASSES (94.99Z)","Ensemble","44397","164066","140055","4121882622"
"France entière","SANTE HUMAINE (QA)","Ensemble","3811","131457","113459","4331646143"
"France entière","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","12062","120823","112474","3435819110"
"France entière","SPORTS ET LOISIRS (RZ2)","Ensemble","35024","82322","66112","1808919377"
"France entière","ACTION SOCIALE (QB)","Accueil d adultes handicapes ou pers. agees","847","11028","9213","252100842"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants et d adolescents","642","13415","11331","345673422"
"France entière","ACTION SOCIALE (QB)","Accueil d enfants handicapes","1093","23912","19345","617500991"
"France entière","ACTION SOCIALE (QB)","Accueil des jeunes enfants","3780","38624","33032","800326939"
"France entière","ACTION SOCIALE (QB)","Action sociale NCA","8783","135565","111939","3043145376"
"France entière","ACTION SOCIALE (QB)","Aide a domicile","4369","158463","115351","2619457674"
"France entière","ACTION SOCIALE (QB)","Aide par le travail","2057","147721","127783","2181979105"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes agees","2324","100639","86822","2393678982"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes en difficulte","3444","79598","69201","2042822543"
"France entière","ACTION SOCIALE (QB)","Hebergement medico-social de personnes handicapees","4355","177350","154109","4379355511"
"France entière","ENSEIGNEMENT (PZ)","Autres enseignements","4920","25224","20673","667815503"
"France entière","ENSEIGNEMENT (PZ)","Enseignement culturel","2564","8628","4975","142224891"
"France entière","ENSEIGNEMENT (PZ)","Enseignement primaire/secondaire/supérieur","9000","241451","215717","7385139097"
"France entière","ENSEIGNEMENT (PZ)","Formation continue d adultes","3331","31197","27889","924479401"
"France entière","SPORTS ET LOISIRS (RZ2)","Loisirs","3095","19083","15672","389272695"
"France entière","SPORTS ET LOISIRS (RZ2)","Sports","31929","63239","50440","1419646682"
"1","Ensemble","Ensemble","1651","16806","14019","387889708"
"2","Ensemble","Ensemble","1149","11748","9857","260677564"
"3","Ensemble","Ensemble","915","9081","7573","199919342"
"4","Ensemble","Ensemble","738","4644","3955","103659453"
"5","Ensemble","Ensemble","725","5383","4654","125814553"
"6","Ensemble","Ensemble","2291","22354","19666","610056626"
"7","Ensemble","Ensemble","1239","10463","8926","251477060"
"8","Ensemble","Ensemble","614","6722","5536","142689279"
"9","Ensemble","Ensemble","639","4218","3576","102918083"
"10","Ensemble","Ensemble","769","7894","6871","182996319"
"11","Ensemble","Ensemble","1078","9277","7728","203170004"
"12","Ensemble","Ensemble","1116","11798","10281","281839933"
"13","Ensemble","Ensemble","6042","59770","52544","1544908217"
"14","Ensemble","Ensemble","2083","20640","17591","485371845"
"15","Ensemble","Ensemble","536","5814","4836","123185350"
"16","Ensemble","Ensemble","915","9538","7886","204703969"
"17","Ensemble","Ensemble","1737","15267","13415","367705518"
"18","Ensemble","Ensemble","795","7484","6348","166157887"
"19","Ensemble","Ensemble","687","6347","5706","153104894"
"21","Ensemble","Ensemble","1545","14018","11885","351463434"
"22","Ensemble","Ensemble","1945","19058","16685","478089969"
"23","Ensemble","Ensemble","402","3523","2892","73379606"
"24","Ensemble","Ensemble","1121","8950","7859","200837032"
"25","Ensemble","Ensemble","1727","16462","13731","371443171"
"26","Ensemble","Ensemble","1906","15093","13192","364124757"
"27","Ensemble","Ensemble","1224","11718","10175","265976302"
"28","Ensemble","Ensemble","1103","8282","7072","186329866"
"29","Ensemble","Ensemble","2776","29357","25758","715377659"
"2A","Ensemble","Ensemble","377","2915","2513","67343624"
"2B","Ensemble","Ensemble","530","3458","3007","81002708"
"30","Ensemble","Ensemble","2189","17680","15226","411661552"
"31","Ensemble","Ensemble","3933","36455","30592","879234574"
"32","Ensemble","Ensemble","704","5344","4628","121365509"
"33","Ensemble","Ensemble","4489","42337","36756","1044359066"
"34","Ensemble","Ensemble","3778","28714","24569","674083172"
"35","Ensemble","Ensemble","3540","36534","31286","903247731"
"36","Ensemble","Ensemble","808","6182","5113","130988900"
"37","Ensemble","Ensemble","1856","17043","14274","385183668"
"38","Ensemble","Ensemble","3490","29138","24274","666612241"
"39","Ensemble","Ensemble","757","7295","6148","161937818"
"40","Ensemble","Ensemble","1230","8234","7356","196459606"
"41","Ensemble","Ensemble","1019","7735","6579","177273915"
"42","Ensemble","Ensemble","2287","23490","19330","525214953"
"43","Ensemble","Ensemble","968","10195","8483","231905734"
"44","Ensemble","Ensemble","4837","48683","41283","1191752698"
"45","Ensemble","Ensemble","1801","14783","12646","351084257"
"46","Ensemble","Ensemble","599","5790","4922","134958028"
"47","Ensemble","Ensemble","1131","10357","9308","240487830"
"48","Ensemble","Ensemble","528","5873","5234","147915583"
"49","Ensemble","Ensemble","2968","30917","26279","749881681"
"50","Ensemble","Ensemble","1236","13636","11251","292467818"
"51","Ensemble","Ensemble","1516","16463","14218","411018894"
"52","Ensemble","Ensemble","469","4487","3750","93656048"
"53","Ensemble","Ensemble","1015","9436","8130","228349315"
"54","Ensemble","Ensemble","1803","22961","19726","559092729"
"55","Ensemble","Ensemble","493","4811","3927","98097010"
"56","Ensemble","Ensemble","2322","22294","19366","562721791"
"57","Ensemble","Ensemble","1890","29572","25127","707359575"
"58","Ensemble","Ensemble","592","5943","5070","134307864"
"59","Ensemble","Ensemble","5752","81626","70046","1993378706"
"60","Ensemble","Ensemble","1647","18591","15857","449266101"
"61","Ensemble","Ensemble","903","11150","9692","257291854"
"62","Ensemble","Ensemble","2627","40590","34140","915315568"
"63","Ensemble","Ensemble","1827","17734","15238","436316764"
"64","Ensemble","Ensemble","2398","22944","19689","542329481"
"65","Ensemble","Ensemble","793","7962","6862","178112325"
"66","Ensemble","Ensemble","1312","11934","10931","291585325"
"67","Ensemble","Ensemble","2695","27455","23088","630121320"
"68","Ensemble","Ensemble","1660","20315","16901","450694561"
"69","Ensemble","Ensemble","5861","64671","54978","1669905272"
"70","Ensemble","Ensemble","529","8031","6606","182076183"
"71","Ensemble","Ensemble","1513","13477","11360","312051601"
"72","Ensemble","Ensemble","1553","15251","12746","353753479"
"73","Ensemble","Ensemble","1390","11327","9688","263524275"
"74","Ensemble","Ensemble","1931","18430","15734","437928178"
"75","Ensemble","Ensemble","11890","111208","100410","3901142221"
"76","Ensemble","Ensemble","3073","31741","26365","731966501"
"77","Ensemble","Ensemble","2572","22567","19442","592716523"
"78","Ensemble","Ensemble","2688","26432","22310","685970749"
"79","Ensemble","Ensemble","1174","10624","9217","247914361"
"80","Ensemble","Ensemble","1409","15154","12950","361552576"
"81","Ensemble","Ensemble","1271","12468","10359","271991865"
"82","Ensemble","Ensemble","681","6781","6023","159094737"
"83","Ensemble","Ensemble","2368","22068","18916","514376978"
"84","Ensemble","Ensemble","1771","14772","13255","373165138"
"85","Ensemble","Ensemble","2245","21228","17750","499993898"
"86","Ensemble","Ensemble","1486","12967","11019","298139317"
"87","Ensemble","Ensemble","1085","8501","7347","200542793"
"88","Ensemble","Ensemble","897","9324","7787","195526871"
"89","Ensemble","Ensemble","859","7448","6413","173142389"
"90","Ensemble","Ensemble","294","3626","3052","79692087"
"91","Ensemble","Ensemble","2378","25314","21509","656351726"
"92","Ensemble","Ensemble","3038","38881","33561","1178937018"
"93","Ensemble","Ensemble","2789","29075","25626","779415980"
"94","Ensemble","Ensemble","2523","29822","25544","821217601"
"95","Ensemble","Ensemble","1985","20434","17523","521099309"
"971","Ensemble","Ensemble","921","9280","8156","235662869"
"972","Ensemble","Ensemble","915","9673","8158","241921161"
"973","Ensemble","Ensemble","380","4051","3705","123300838"
"974","Ensemble","Ensemble","1892","18780","16626","465111362"
"1","Ensemble","Accueil d adultes handicapes ou pers. agees","8","s","s","s"
"1","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"1","Ensemble","Accueil d enfants handicapes","5","90","65","1786888"
"1","Ensemble","Accueil des jeunes enfants","44","469","395","9221004"
"1","Ensemble","Action sociale NCA","66","1889","1486","38670630"
"1","Ensemble","Aide a domicile","35","1190","904","20163106"
"1","Ensemble","Aide par le travail","23","1517","1269","22290800"
"1","Ensemble","Autres enseignements","35","150","123","3828883"
"1","Ensemble","Enseignement culturel","45","124","63","1606595"
"1","Ensemble","Enseignement primaire/secondaire/supérieur","70","1896","1645","51845735"
"1","Ensemble","Formation continue d adultes","17","108","100","3176846"
"1","Ensemble","Hebergement medico-social de personnes agees","37","1122","976","27001726"
"1","Ensemble","Hebergement medico-social de personnes en difficulte","29","715","605","16261304"
"1","Ensemble","Hebergement medico-social de personnes handicapees","45","1990","1773","50887814"
"1","Ensemble","Loisirs","47","267","219","5105093"
"1","Ensemble","Sports","403","537","390","9963914"
"2","Ensemble","Accueil d adultes handicapes ou pers. agees","11","182","166","3087990"
"2","Ensemble","Accueil d enfants et d adolescents","5","241","224","6439319"
"2","Ensemble","Accueil d enfants handicapes","9","103","79","2460894"
"2","Ensemble","Accueil des jeunes enfants","23","125","103","2389244"
"2","Ensemble","Action sociale NCA","52","856","649","16602260"
"2","Ensemble","Aide a domicile","24","788","569","12575300"
"2","Ensemble","Aide par le travail","17","1300","1173","17600477"
"2","Ensemble","Autres enseignements","23","75","57","1648680"
"2","Ensemble","Enseignement culturel","9","14","8","194157"
"2","Ensemble","Enseignement primaire/secondaire/supérieur","47","1328","1180","38386086"
"2","Ensemble","Formation continue d adultes","20","337","303","9375395"
"2","Ensemble","Hebergement medico-social de personnes agees","14","558","483","12925557"
"2","Ensemble","Hebergement medico-social de personnes en difficulte","21","400","346","10343724"
"2","Ensemble","Hebergement medico-social de personnes handicapees","47","1177","1003","27966501"
"2","Ensemble","Loisirs","13","36","33","842740"
"2","Ensemble","Sports","214","247","223","5097172"
"3","Ensemble","Accueil d adultes handicapes ou pers. agees","6","s","s","s"
"3","Ensemble","Accueil d enfants et d adolescents","1","s","s","s"
"3","Ensemble","Accueil des jeunes enfants","8","58","47","1136130"
"3","Ensemble","Action sociale NCA","72","690","601","15544488"
"3","Ensemble","Aide a domicile","23","1208","860","20622826"
"3","Ensemble","Aide par le travail","16","1213","995","18861205"
"3","Ensemble","Autres enseignements","20","140","139","4576246"
"3","Ensemble","Enseignement culturel","10","7","6","141058"
"3","Ensemble","Enseignement primaire/secondaire/supérieur","35","712","630","20920456"
"3","Ensemble","Formation continue d adultes","7","103","96","3053585"
"3","Ensemble","Hebergement medico-social de personnes agees","19","669","602","16095761"
"3","Ensemble","Hebergement medico-social de personnes en difficulte","21","214","178","5079008"
"3","Ensemble","Hebergement medico-social de personnes handicapees","38","1245","1108","32144206"
"3","Ensemble","Loisirs","15","69","64","1478471"
"3","Ensemble","Sports","167","220","186","4337889"
"4","Ensemble","Accueil d adultes handicapes ou pers. agees","4","s","22","570114"
"4","Ensemble","Accueil d enfants et d adolescents","4","s","67","1897831"
"4","Ensemble","Accueil des jeunes enfants","23","226","198","4561120"
"4","Ensemble","Action sociale NCA","37","457","344","8827036"
"4","Ensemble","Aide a domicile","32","505","340","7512414"
"4","Ensemble","Aide par le travail","6","434","355","7180012"
"4","Ensemble","Autres enseignements","13","29","27","745682"
"4","Ensemble","Enseignement culturel","12","16","12","294056"
"4","Ensemble","Enseignement primaire/secondaire/supérieur","6","159","143","4510883"
"4","Ensemble","Formation continue d adultes","7","21","17","498611"
"4","Ensemble","Hebergement medico-social de personnes agees","10","282","246","6848557"
"4","Ensemble","Hebergement medico-social de personnes en difficulte","13","276","248","7366225"
"4","Ensemble","Hebergement medico-social de personnes handicapees","20","533","422","12065884"
"4","Ensemble","Loisirs","9","29","27","561155"
"4","Ensemble","Sports","115","112","116","2833605"
"5","Ensemble","Accueil d adultes handicapes ou pers. agees","2","s","s","s"
"5","Ensemble","Accueil d enfants et d adolescents","3","s","s","s"
"5","Ensemble","Accueil d enfants handicapes","1","s","s","s"
"5","Ensemble","Accueil des jeunes enfants","21","167","147","3350275"
"5","Ensemble","Action sociale NCA","39","352","289","7464467"
"5","Ensemble","Aide a domicile","13","331","235","5341804"
"5","Ensemble","Aide par le travail","3","105","89","1513652"
"5","Ensemble","Autres enseignements","24","67","59","1771025"
"5","Ensemble","Enseignement culturel","5","33","27","934743"
"5","Ensemble","Enseignement primaire/secondaire/supérieur","10","201","189","5790945"
"5","Ensemble","Formation continue d adultes","7","41","34","1095329"
"5","Ensemble","Hebergement medico-social de personnes agees","11","391","340","9961864"
"5","Ensemble","Hebergement medico-social de personnes en difficulte","10","308","261","5955665"
"5","Ensemble","Hebergement medico-social de personnes handicapees","17","913","748","19950824"
"5","Ensemble","Loisirs","9","9","7","153068"
"5","Ensemble","Sports","111","224","192","4977995"
